sample_id,Basophils,Eosinophils,Lymphocytes,Monocytes,Neutrophils
SRX4218303,0.008016032064128258,0.07615230460921843,0.36673346693386777,0.05711422845691383,0.4919839679358718
SRX4218304,0.0070210631895687055,0.05315947843530591,0.3600802407221665,0.07622868605817452,0.5035105315947843
SRX4218305,0.0,0.12,0.41,0.04,0.43
SRX4218307,0.0030181086519114686,0.039235412474849095,0.335010060362173,0.047283702213279676,0.5754527162977867
SRX4218308,0.009000000000000001,0.046,0.23,0.053,0.662
SRX4218309,0.008048289738430584,0.05533199195171026,0.4305835010060362,0.06841046277665996,0.437625754527163
SRX4218311,0.0070210631895687055,0.06118355065195586,0.4844533600802407,0.07923771313941826,0.36810431293881646
SRX4218312,0.009900990099009901,0.04950495049504951,0.504950495049505,0.0594059405940594,0.37623762376237624
SRX4218313,0.0,0.06060606060606061,0.31313131313131315,0.08080808080808081,0.5454545454545454
SRX4218314,0.003006012024048096,0.062124248496993995,0.21142284569138278,0.10320641282565131,0.6202404809619239
SRX4218315,0.00501002004008016,0.09919839679358718,0.43887775551102204,0.11923847695390782,0.33767535070140287
SRX4218317,0.006012024048096192,0.10320641282565131,0.15831663326653309,0.16733466933867736,0.5651302605210421
SRX4218318,0.004020100502512563,0.05125628140703517,0.2221105527638191,0.11758793969849246,0.6050251256281407
SRX4218322,0.01,0.08,0.55,0.05,0.31
SRX4218323,0.009900990099009901,0.07920792079207921,0.38613861386138615,0.06930693069306931,0.45544554455445546
SRX4218325,0.008016032064128258,0.10921843687374751,0.37374749498997994,0.10020040080160321,0.40881763527054105
SRX4218326,0.007007007007007006,0.1121121121121121,0.45145145145145144,0.07507507507507508,0.3543543543543543
SRX4218327,0.006006006006006006,0.16416416416416416,0.40640640640640646,0.07007007007007007,0.3533533533533533
SRX4218328,0.00501002004008016,0.09719438877755511,0.5170340681362726,0.06312625250501001,0.31763527054108215
SRX4218329,0.01,0.06,0.42,0.08,0.43
SRX4218330,0.0,0.09,0.34,0.16,0.41
SRX4218331,0.0,0.04,0.28,0.07,0.61
SRX4218333,0.0,0.03,0.39,0.05,0.53
SRX4218334,0.005,0.055,0.252,0.06,0.628
SRX4218336,0.006999999999999999,0.026000000000000002,0.32899999999999996,0.069,0.569
SRX4218337,0.008,0.061,0.26,0.071,0.6
SRX4218339,0.012072434607645876,0.035211267605633804,0.5080482897384306,0.0694164989939638,0.37525150905432597
SRX4218342,0.009036144578313253,0.061244979919678706,0.4186746987951807,0.10240963855421685,0.4086345381526104
SRX4218343,0.010040160642570281,0.04618473895582329,0.3273092369477912,0.09538152610441768,0.5210843373493976
SRX4218347,0.008016032064128258,0.02705410821643287,0.49498997995991983,0.05811623246492986,0.4118236472945892
SRX4218348,0.0070140280561122245,0.10220440881763526,0.5160320641282565,0.04809619238476954,0.3266533066132265
SRX4218350,0.0020040080160320644,0.1683366733466934,0.2985971943887776,0.08617234468937876,0.44488977955911824
SRX4218352,0.0020080321285140565,0.0050200803212851405,0.07630522088353414,0.07530120481927711,0.8413654618473896
SRX4218354,0.01,0.1,0.4,0.06,0.43
SRX4218355,0.0020060180541624875,0.09428284854563691,0.14142427281845535,0.09528585757271815,0.6670010030090271
SRX4218357,0.01,0.05,0.23,0.07,0.64
SRX4218358,0.01,0.07,0.33,0.08,0.51
SRX4218359,0.01,0.05,0.38,0.08,0.48
SRX4218361,0.005,0.054000000000000006,0.315,0.138,0.488
SRX4218362,0.004008016032064129,0.08717434869739478,0.35871743486973945,0.12625250501002003,0.42384769539078154
SRX4218364,0.005,0.059000000000000004,0.32299999999999995,0.08199999999999999,0.531
SRX4218365,0.008016032064128258,0.11723446893787574,0.43186372745490986,0.04308617234468938,0.3997995991983968
SRX4218366,0.003009027081243731,0.026078234704112337,0.17251755265797392,0.062186559679037114,0.7362086258776329
SRX4218368,0.0020100502512562816,0.0010050251256281408,0.0964824120603015,0.03919597989949749,0.8613065326633166
SRX4218370,0.01,0.07,0.37,0.06,0.49
SRX4218372,0.0050150451354062184,0.07021063189568706,0.3630892678034103,0.11033099297893681,0.45135406218655966
SRX4218374,0.01,0.07,0.22,0.13,0.57
SRX4218376,0.009000000000000001,0.057999999999999996,0.47100000000000003,0.08199999999999999,0.38
SRX4218377,0.006006006006006005,0.058058058058058054,0.3063063063063063,0.07307307307307306,0.5565565565565566
SRX4218380,0.003,0.059000000000000004,0.349,0.062,0.527
SRX4218381,0.0,0.1,0.49,0.15,0.26
SRX4218383,0.006012024048096192,0.04408817635270541,0.39178356713426854,0.06913827655310621,0.48897795591182364
SRX4218384,0.006048387096774194,0.038306451612903226,0.4768145161290323,0.09173387096774194,0.38709677419354843
SRX4218385,0.0070210631895687055,0.03811434302908726,0.5125376128385155,0.10531594784353059,0.3370110330992979
SRX4218386,0.009900990099009901,0.04950495049504951,0.19801980198019803,0.0891089108910891,0.6534653465346535
SRX4218388,0.00501002004008016,0.10721442885771543,0.4348697394789579,0.09418837675350702,0.35871743486973945
SRX4218389,0.0070140280561122245,0.13627254509018036,0.4308617234468938,0.059118236472945895,0.36673346693386777
SRX4218390,0.009900990099009901,0.04950495049504951,0.2871287128712871,0.06930693069306931,0.5841584158415841
SRX4218391,0.010101010101010102,0.04040404040404041,0.26262626262626265,0.08080808080808081,0.6060606060606061
SRX4218392,0.00802407221664995,0.04212637913741224,0.320962888665998,0.0391173520561685,0.5897693079237712
SRX4218393,0.0070210631895687055,0.037111334002006016,0.3239719157472417,0.05015045135406219,0.5817452357071213
SRX4218396,0.00501002004008016,0.08316633266533068,0.24849699398797598,0.06613226452905811,0.5971943887775552
SRX4218397,0.0010090817356205853,0.03027245206861756,0.35317860746720486,0.07063572149344097,0.5449041372351161
SRX4218398,0.020202020202020204,0.06060606060606061,0.40404040404040403,0.0707070707070707,0.4444444444444444
SRX4218400,0.01,0.08,0.38,0.08,0.45
SRX4218401,0.021739130434782608,0.03260869565217391,0.32608695652173914,0.043478260869565216,0.5760869565217391
SRX4218402,0.001,0.009000000000000001,0.11800000000000001,0.066,0.8059999999999999
SRX4218404,0.003,0.052000000000000005,0.37200000000000005,0.087,0.486
SRX4218405,0.004016064257028113,0.16867469879518074,0.33634538152610444,0.071285140562249,0.41967871485943775
SRX4218407,0.0,0.04,0.43,0.08,0.45
SRX4218408,0.0,0.01,0.2,0.11,0.68
SRX4218410,0.01,0.06,0.47,0.08,0.38
SRX4218411,0.02,0.04,0.38,0.06,0.5
SRX4218412,0.008,0.175,0.397,0.055,0.365
SRX4218414,0.01002004008016032,0.09719438877755511,0.3156312625250501,0.07615230460921843,0.5010020040080161
SRX4218415,0.006006006006006005,0.18218218218218216,0.40040040040040037,0.08008008008008008,0.3313313313313313
SRX4218416,0.0050150451354062184,0.06619859578736208,0.35807422266800404,0.06720160481444333,0.5035105315947843
SRX4218417,0.004016064257028113,0.044176706827309245,0.41164658634538154,0.06024096385542169,0.4799196787148594
SRX4218418,0.009900990099009901,0.04950495049504951,0.297029702970297,0.07920792079207921,0.5643564356435643
SRX4218419,0.0070210631895687055,0.058174523570712136,0.24272818455366096,0.06720160481444333,0.6248746238716147
SRX4218420,0.00501002004008016,0.07014028056112225,0.2545090180360721,0.05811623246492986,0.6122244488977956
SRX4218422,0.008032128514056224,0.05421686746987952,0.2751004016064257,0.06325301204819277,0.5993975903614458
SRX4218424,0.006012024048096192,0.12525050100200402,0.2555110220440882,0.07114228456913828,0.5420841683366734
SRX4218425,0.0,0.04,0.3,0.04,0.62
SRX4218427,0.010101010101010102,0.08080808080808081,0.3939393939393939,0.050505050505050504,0.46464646464646464
SRX4218428,0.004004004004004005,0.025025025025025027,0.5945945945945946,0.06706706706706707,0.30930930930930933
SRX4218430,0.0050150451354062184,0.044132397191574725,0.5426278836509528,0.06318956870611835,0.34503510531594783
SRX4218431,0.003009027081243731,0.03811434302908726,0.41825476429287867,0.078234704112337,0.46238716148445336
SRX4218432,0.004008016032064129,0.025050100200400802,0.6062124248496994,0.07214428857715431,0.2925851703406814
SRX4218433,0.0,0.02,0.61,0.11,0.26
SRX4218434,0.0,0.0,0.07,0.05,0.88
SRX4218435,0.0,0.07,0.54,0.08,0.31
SRX4218436,0.0,0.11,0.56,0.07,0.26
SRX4218437,0.01,0.1,0.58,0.04,0.27
SRX4218438,0.0,0.03,0.31,0.04,0.62
SRX4218440,0.01,0.07,0.48,0.09,0.35
SRX4218441,0.0,0.02,0.27,0.1,0.61
SRX4218442,0.0070210631895687055,0.06118355065195586,0.39719157472417255,0.0712136409227683,0.46339017051153464
SRX4218443,0.0070210631895687055,0.03811434302908726,0.2928786359077232,0.07923771313941826,0.5827482447342026
SRX4218445,0.003006012024048096,0.04008016032064128,0.40180360721442887,0.10521042084168337,0.4498997995991984
SRX4218446,0.004016064257028113,0.03313253012048193,0.40763052208835343,0.11947791164658636,0.43574297188755023
SRX4218447,0.01002004008016032,0.03507014028056112,0.4939879759519038,0.05811623246492986,0.4028056112224449
SRX4218448,0.008016032064128258,0.04809619238476954,0.4619238476953908,0.056112224448897796,0.42585170340681366
