sample_id,Astro,EndoMural,Inhib,Excit,Micro,OligoOPC
AN00000904_Br2720_Post_Bulk,0.4149809979159005,0.20595807282089,0.3790609292632095,0.589708777408187,0.096123820514561,0.3141674020772521
AN00000904_Br2743_Ant_Bulk,0.7733547019593652,0.1501318306364059,0.0765134674042289,0.4981408319776901,0.1840576342086916,0.3178015338136182
AN00000904_Br3942_Mid_Bulk,0.3166842184444111,0.1317887768918307,0.5515270046637581,0.8948873192061892,0.0280861083081062,0.0770265724857046
AN00000904_Br6423_Ant_Bulk,0.7586420572743771,0.0941442039569778,0.1472137387686451,0.4823508648076244,0.1447670314154606,0.3728821037769149
AN00000904_Br6423_Post_Bulk,0.6203631185475258,0.0918476326094694,0.2877892488430046,0.8198333646557667,0.0656518198333644,0.1145148155108688
AN00000904_Br6471_Mid_Bulk,0.6700829461067442,0.0807747426933599,0.2491423111998957,0.5445852023463302,0.0435747030117807,0.411840094641889
AN00000904_Br6522_Mid_Bulk,0.0,0.0,0.0,0.6815855855855858,0.0516036036036033,0.2668108108108107
AN00000904_Br6522_Post_Bulk,0.0,0.0,0.0,0.6990499540300339,0.0332516089488199,0.2676984370211461
AN00000904_Br8325_Ant_Bulk,0.0,0.0,0.0,0.4542334851184584,0.2557249389559823,0.2900415759255593
AN00000904_Br8325_Mid_Bulk,0.4401894341471381,0.2477341389728097,0.3120764268800521,0.3266331658291456,0.2121719709659408,0.4611948632049135
AN00000904_Br8492_Post_Bulk,0.2817736530033514,0.2503222480020621,0.4679040989945864,0.7339633914507632,0.1163434903047091,0.1496931182445275
AN00000904_Br8667_Mid_Bulk,0.36273022751896,0.1700975081256768,0.4671722643553631,0.8911146086707686,0.0493632851623978,0.0595221061668334
AN00000906_Br2720_Post_Bulk,0.4149809979159005,0.20595807282089,0.3790609292632095,0.589708777408187,0.096123820514561,0.3141674020772521
AN00000906_Br2743_Ant_Bulk,0.7733547019593652,0.1501318306364059,0.0765134674042289,0.4981408319776901,0.1840576342086916,0.3178015338136182
AN00000906_Br3942_Mid_Bulk,0.3166842184444111,0.1317887768918307,0.5515270046637581,0.8948873192061892,0.0280861083081062,0.0770265724857046
AN00000906_Br6423_Ant_Bulk,0.7586420572743771,0.0941442039569778,0.1472137387686451,0.4823508648076244,0.1447670314154606,0.3728821037769149
AN00000906_Br6423_Post_Bulk,0.6203631185475258,0.0918476326094694,0.2877892488430046,0.8198333646557667,0.0656518198333644,0.1145148155108688
AN00000906_Br6471_Mid_Bulk,0.6700829461067442,0.0807747426933599,0.2491423111998957,0.5445852023463302,0.0435747030117807,0.411840094641889
AN00000906_Br6522_Mid_Bulk,0.0,0.0,0.0,0.6815855855855858,0.0516036036036033,0.2668108108108107
AN00000906_Br6522_Post_Bulk,0.0,0.0,0.0,0.6990499540300339,0.0332516089488199,0.2676984370211461
AN00000906_Br8325_Ant_Bulk,0.0,0.0,0.0,0.4542334851184584,0.2557249389559823,0.2900415759255593
AN00000906_Br8325_Mid_Bulk,0.4401894341471381,0.2477341389728097,0.3120764268800521,0.3266331658291456,0.2121719709659408,0.4611948632049135
AN00000906_Br8492_Post_Bulk,0.2817736530033514,0.2503222480020621,0.4679040989945864,0.7339633914507632,0.1163434903047091,0.1496931182445275
AN00000906_Br8667_Mid_Bulk,0.36273022751896,0.1700975081256768,0.4671722643553631,0.8911146086707686,0.0493632851623978,0.0595221061668334
