sample_id,hepatocyte,endothelial_cell_of_hepatic_sinusoid
Mixture1,0.7668468920795616,0.23315310792043847
Mixture2,0.8739935361546866,0.12600646384531344
Mixture3,0.8219211612981417,0.17807883870185834
Mixture4,0.8087263043591415,0.19127369564085853
Mixture5,0.7050154373554437,0.29498456264455625
Mixture6,0.7894457398453181,0.21055426015468187
Mixture7,0.799797139492973,0.200202860507027
Mixture8,0.7927980451673764,0.20720195483262352
Mixture9,0.8100721225150826,0.18992787748491727
Mixture10,0.7703219168124423,0.22967808318755753
Mixture11,0.687100072829211,0.31289992717078907
Mixture12,0.697191153852014,0.3028088461479861
Mixture13,0.7415886850114322,0.25841131498856784
Mixture14,0.8566676697963376,0.1433323302036624
Mixture15,0.8461722220399746,0.1538277779600255
Mixture16,0.8490150369847668,0.15098496301523315
Mixture17,0.8505868994638982,0.1494131005361017
Mixture18,0.6301913272779464,0.3698086727220536
Mixture19,0.8973696845922227,0.10263031540777735
Mixture20,0.8508300213871701,0.14916997861282977
Mixture21,0.8832331600205731,0.11676683997942686
Mixture22,0.7468518008930086,0.2531481991069913
Mixture23,0.7478770484223022,0.2521229515776979
Mixture24,0.8361287477014429,0.16387125229855712
Mixture25,0.6671571966478624,0.33284280335213756
Mixture26,0.8032617026389536,0.19673829736104648
Mixture27,0.8773396912249489,0.12266030877505109
Mixture28,0.7522500100688613,0.24774998993113873
Mixture29,0.759285936889345,0.240714063110655
Mixture30,0.821423096364169,0.1785769036358311
Mixture31,0.8123374031468679,0.18766259685313205
Mixture32,0.8213622157451771,0.17863778425482293
Mixture33,0.8616255988103223,0.13837440118967773
Mixture34,0.8900689790562868,0.10993102094371324
Mixture35,0.8560406114838929,0.1439593885161071
Mixture36,0.8808751019514401,0.1191248980485599
Mixture37,0.7893016291419735,0.21069837085802645
Mixture38,0.7605388616972315,0.23946113830276844
Mixture39,0.8194591394001098,0.18054086059989008
Mixture40,0.6908132122182505,0.30918678778174935
Mixture41,0.7199602627548505,0.2800397372451496
Mixture42,0.7183823030690335,0.28161769693096633
Mixture43,0.9032071584101287,0.09679284158987143
Mixture44,0.801595014333248,0.19840498566675213
Mixture45,0.7845471937627613,0.21545280623723864
Mixture46,0.7710515369930517,0.2289484630069483
Mixture47,0.8046120862215641,0.19538791377843598
Mixture48,0.7121256513589058,0.2878743486410941
Mixture49,0.7501632322283458,0.24983676777165417
Mixture50,0.8865484365173416,0.11345156348265839
Mixture51,0.6988505474818735,0.30114945251812647
Mixture52,0.8752635723381998,0.12473642766180018
Mixture53,0.8904096448778952,0.10959035512210474
Mixture54,0.7160307756843175,0.2839692243156825
Mixture55,0.9124550281576037,0.08754497184239622
Mixture56,0.7392465662409011,0.2607534337590988
Mixture57,0.8422568111692565,0.1577431888307434
Mixture58,0.7773258305120756,0.2226741694879244
Mixture59,0.8293659792991807,0.17063402070081926
Mixture60,0.8113594523020534,0.18864054769794658
Mixture61,0.7230108080497337,0.2769891919502662
Mixture62,0.8251916229663928,0.17480837703360722
Mixture63,0.7984365072515583,0.20156349274844174
Mixture64,0.9220755738247777,0.0779244261752224
Mixture65,0.7774542474053678,0.2225457525946322
Mixture66,0.8363863005965129,0.16361369940348716
Mixture67,0.7427259270852117,0.25727407291478827
Mixture68,0.8447065915345938,0.15529340846540612
Mixture69,0.8372257383039516,0.1627742616960484
Mixture70,0.8862523061706805,0.11374769382931946
Mixture71,0.8338593106502727,0.16614068934972723
Mixture72,0.8122726526683252,0.18772734733167493
Mixture73,0.810806980249992,0.189193019750008
Mixture74,0.8991218609498073,0.10087813905019268
Mixture75,0.7573081289941411,0.24269187100585887
Mixture76,0.8697775549026656,0.1302224450973343
Mixture77,0.821269569894743,0.17873043010525702
Mixture78,0.7922600715124057,0.20773992848759432
Mixture79,0.8117213701682128,0.1882786298317872
Mixture80,0.906289497853088,0.09371050214691193
Mixture81,0.6497201972349833,0.35027980276501663
Mixture82,0.7850512171536683,0.2149487828463316
Mixture83,0.7540710421520385,0.24592895784796154
Mixture84,0.7994678150380528,0.20053218496194714
Mixture85,0.7526953909684766,0.24730460903152343
Mixture86,0.8938196559952852,0.10618034400471472
Mixture87,0.9152884188732484,0.0847115811267516
Mixture88,0.8453601465185797,0.15463985348142023
Mixture89,0.8044660436492578,0.19553395635074217
Mixture90,0.8688392402158949,0.1311607597841051
Mixture91,0.7901588426199047,0.20984115738009532
Mixture92,0.8592585707046809,0.1407414292953192
Mixture93,0.7854005678042045,0.21459943219579547
Mixture94,0.809702423743875,0.19029757625612498
Mixture95,0.8071672003553884,0.19283279964461175
Mixture96,0.9108378821503953,0.0891621178496047
Mixture97,0.6631705498819124,0.3368294501180876
Mixture98,0.8350275446652934,0.1649724553347065
Mixture99,0.8447395301892644,0.15526046981073557
Mixture100,0.6953581420004007,0.30464185799959925
