sample_id,plasma_cell,classical_monocyte,memory_B_cell,mature_NK_T_cell,intermediate_monocyte,regulatory_T_cell,neutrophil,type_I_NK_T_cell,macrophage,hematopoietic_stem_cell,endothelial_cell,naive_B_cell,innate_lymphoid_cell
Mixture1,0.12702134975678128,0.18788604213753854,0.14891284847559053,0.09379190504357972,0.01581705868881413,0.04076950305728523,0.19725935040725376,0.04333713428419773,0.0,0.024132624934729608,0.026433846326093396,0.09463833688813603,0.0
Mixture2,0.15066496444340832,0.12572527821947657,0.17957512820283272,0.15439082686686145,0.015267921623814663,0.05410756677629951,0.0,0.05532437750549028,0.12955094091149288,0.01211393533101497,0.0,0.07856215311608537,0.04471690700322331
Mixture3,0.1577918078290439,0.19833417938710782,0.11735296021343197,0.0638962058925591,0.0,0.0,0.13221097318747116,0.04473616793108091,0.12751060348562657,0.027473731314080516,0.036393356424156115,0.057809454801680905,0.03649055953376101
Mixture4,0.12029466113298996,0.13416940861901072,0.18196668812983552,0.09673079015343135,0.016183420492606272,0.03247381644349674,0.138408321776024,0.039816845323832825,0.09439765737165792,0.019983494941113816,0.03792836888802697,0.055602598345429674,0.032043928382544266
Mixture5,0.1908582824855648,0.1546257283988363,0.12557702550897182,0.10169583517833473,0.017144156611353812,0.023215664188549118,0.1016640962426129,0.0,0.10980279600504653,0.023912884808041462,0.03835185183995088,0.08706563248236211,0.02608604625037554
Mixture6,0.0,0.25922053657511485,0.12618860562653011,0.14397362133298455,0.019672704092248968,0.027224239434681767,0.11084220395043885,0.07137192173797127,0.10701792175482702,0.014649855295382331,0.0,0.09710886512075,0.022729525079070213
Mixture7,0.0,0.08690626434509816,0.2521687426766822,0.0723713693970221,0.00937697414854892,0.035814201126715114,0.23026609829924988,0.06001503903995153,0.06641954603859557,0.012790846601347593,0.049647533795220994,0.08880569195726555,0.035417692574302315
Mixture8,0.09701676350113368,0.12572365421664805,0.10780280573234986,0.1257245889064563,0.01702768558639375,0.037922695476809536,0.16905926591444118,0.06665072030997314,0.10862755866742257,0.012973985401414251,0.04089067202690031,0.05250065295660817,0.03807895130344918
Mixture9,0.16023352911172678,0.12303202421734462,0.21091323912444562,0.07744797004332311,0.011035204721595937,0.041991267716868126,0.14229135595584672,0.05375480777593256,0.035893195717202626,0.009183608149620291,0.03230785130122741,0.08292103383565128,0.01899491232921491
Mixture10,0.06941754329745509,0.10491720786036098,0.20818744714511064,0.10100104482503056,0.010806649370126965,0.0251027292751468,0.15928436531017814,0.07133683141640562,0.09503357953219357,0.021103707293888534,0.03519038325695397,0.07036857313802101,0.028249938279128084
Mixture11,0.11032674344775084,0.19865526405126074,0.17353997894439838,0.10848099529973136,0.009423318868126652,0.023431198239419183,0.09107968872645557,0.06816736273105246,0.07924428001086858,0.0,0.03808097136185629,0.07811759353514523,0.021452604783934702
Mixture12,0.10298602233825085,0.09717389277865807,0.21563960946167085,0.14391123510228446,0.008863704341756424,0.0,0.1702898237390301,0.04413914609914119,0.08188262468148273,0.016966847025108155,0.05188549430111784,0.047963944239646575,0.018297655891852695
Mixture13,0.14010330340794505,0.1382859152114222,0.13635246276134025,0.06043157646043075,0.008494207518981594,0.03649624445843552,0.2139552014104442,0.06616821771068321,0.07221140171288186,0.01709657709811037,0.04217587842692755,0.05574639052246042,0.012482623299937084
Mixture14,0.1667389306395423,0.0,0.20833354802968035,0.10734569268985461,0.015464243279227094,0.0,0.20292834693241307,0.03873555198213072,0.09324484429379505,0.01637634500668337,0.03956408959357386,0.07801209156229784,0.033256315990801755
Mixture15,0.08509119567328122,0.21581868594938347,0.09842149337160983,0.09483115106705026,0.018277304786002285,0.04872533147143153,0.21110459664778278,0.0,0.076406500159713,0.02388590930658914,0.05696817280452308,0.07046965876263346,0.0
Mixture16,0.1947720823776945,0.20571567452419695,0.1738703911802706,0.10406664829408245,0.021338444717039978,0.0,0.0,0.06700405324622913,0.04470186996823761,0.012904493067324942,0.06537141029468899,0.07681100434071288,0.033443927989522
Mixture17,0.11669342503638319,0.1795954093501602,0.10866170304223101,0.10181309116833377,0.0,0.03997483907600753,0.19162589694542384,0.06212632029521618,0.07431423511090285,0.01862812997901478,0.041797989912443885,0.03357769031805758,0.031191269765825137
Mixture18,0.1425391706389225,0.24241356005227954,0.24367539052477163,0.07311999252940031,0.015246478993150021,0.019762941063987835,0.0,0.0927974588282195,0.04474636109214416,0.017323825421532407,0.05515589336524432,0.03748728466212101,0.01573164282822672
Mixture19,0.19281967155218113,0.16194746862022047,0.17187513426447978,0.0,0.016594957301778682,0.050745113899440794,0.0,0.09032411330209951,0.10702578088884764,0.013862249501343097,0.057291193450734114,0.0975943724292589,0.03991994478961595
Mixture20,0.1002425490670459,0.1753658611017331,0.13503135889011755,0.11217944247178042,0.025049754555929386,0.043762569532307796,0.1138639517489018,0.08009175642829261,0.06513800629589042,0.0,0.0404460056229404,0.08244656651536904,0.026382177769691498
Mixture21,0.11824888931198989,0.11066519892537065,0.11989599001816553,0.13684432517033873,0.006362387694962392,0.03089085851390281,0.1798996186432681,0.07031868427570923,0.07001686939798127,0.017276326507394604,0.04934428403543085,0.063660874461348,0.026575693044138027
Mixture22,0.1736840781554961,0.11591862493493564,0.2533023091138631,0.1670453174076767,0.018371891896620828,0.024003553452714658,0.0,0.05509224676474581,0.05881515840129864,0.018277655114274243,0.03371751831100457,0.06451441954181181,0.01725722690555792
Mixture23,0.07882170111599901,0.16024919069206003,0.21771275501290818,0.07856739293571607,0.014809370395411057,0.0,0.21419833145167083,0.0473971062191715,0.07529688265354414,0.0,0.04417305666112532,0.053997055961176744,0.014777156901217088
Mixture24,0.17277027711688492,0.11262439439931918,0.13497571614793355,0.06987940575301231,0.01651249396024481,0.023262609711487175,0.17765785927256303,0.03783991717712539,0.09990454000428375,0.023546919772829147,0.034906686435379024,0.07970906088344877,0.016410119365488984
Mixture25,0.13114607581482063,0.13236632975515955,0.1467004969315557,0.06580931257988251,0.010980128277380926,0.03571193752721457,0.2226642175951028,0.08104499371536251,0.04531477294017795,0.01192022620699719,0.05002968674793757,0.04072147537013417,0.025590346538273957
Mixture26,0.10465643194042812,0.10730237095062338,0.18703357475529173,0.08942054612419563,0.015760894598261046,0.02820316870188139,0.16383197816921624,0.04835605471925049,0.0996900663237711,0.01968519868391128,0.04377735039237756,0.06015171493696413,0.032130649703827875
Mixture27,0.13526922945463127,0.15027253446526984,0.24381210954585894,0.10446202698878296,0.019398055355451783,0.0383823773970391,0.08238318597103862,0.07602192440880806,0.10342338696985781,0.009649501178440323,0.0,0.03692566826482122,0.0
Mixture28,0.1334571119605897,0.2421639088130768,0.1889350583715071,0.06163411950907415,0.0,0.019676705666697325,0.12301623332018567,0.04982136483497343,0.0639194962368599,0.0,0.032182286541157755,0.06599680554800913,0.01919690919786902
