sample_id,fibroblast,smooth_muscle_cell,pericyte,endocardial_cell,vein_endothelial_cell,endothelial_cell_of_artery,capillary_endothelial_cell,cardiac_muscle_cell,myeloid_cell,neuron,mesothelial_cell_of_epicardium,innate_lymphoid_cell,cardiac_mesenchymal_cell
Mixture1,0.12667294945866925,0.1620600512261775,0.046283218634553744,0.07229076167846991,0.03821581943704805,0.10152209225697455,0.1055276375941225,0.07070345827692058,0.0,0.1231924539861935,0.04020783447036801,0.11332372298050238,0.0
Mixture2,0.13619134776131495,0.09829561494938584,0.050590346270115875,0.10786213727813614,0.0334370116843302,0.12212743351841461,0.0,0.08181389854167115,0.19318175977121843,0.05605248600758989,0.0,0.08527018326496424,0.03517778095285869
Mixture3,0.14787490008179532,0.1607614335532828,0.034275853970618234,0.046280214931435436,0.0,0.0,0.06646591258794111,0.06858704620220131,0.19712632047138154,0.13179533630969043,0.05202059149976101,0.06505122217983059,0.02976116821206221
Mixture4,0.11588954084413934,0.11179585172617697,0.05463538432999593,0.07202328214548856,0.03777274079186024,0.0781176559036686,0.07152890054750746,0.06275351323196032,0.1500193943730216,0.09854661648658038,0.05573207569738264,0.06431903955216195,0.026866004370056037
Mixture5,0.17579973510231123,0.12318654020149786,0.03604969705258282,0.07239701437324766,0.03825900059028222,0.05339570196625222,0.05023382717090566,0.0,0.16684335184832058,0.11274870452015649,0.053881131452003406,0.09629429078924354,0.02091100493319625
Mixture6,0.0,0.21259976384018645,0.037292666906955534,0.10551453533247362,0.045195316123793364,0.0644603732658936,0.05638267655036233,0.11071839365194183,0.16740325303616072,0.07110903693754994,0.0,0.11056674677903042,0.01875723757565227
Mixture7,0.0,0.08067103544087866,0.08434662900385148,0.06003013625782256,0.024381771911289367,0.0959766318777994,0.13256952942074698,0.10537210480209457,0.11759164335916235,0.07026902521746209,0.08127053108355853,0.11444046977338364,0.03308049185195036
Mixture8,0.09013450549541663,0.10102656525536638,0.03121465826942237,0.0902765193608664,0.038327475192182894,0.0879754463352033,0.08425675609504908,0.10130303406420978,0.16648404501603314,0.06170069936443039,0.057944431876702625,0.05856735047974281,0.030788513195374248
Mixture9,0.16696352937315154,0.11088190591236395,0.06849459190919338,0.062371837928162796,0.02785857537012048,0.10925597244766301,0.07953681468519876,0.0916344630121745,0.06169765356480993,0.04898396622862231,0.051347518116658636,0.10374794454980889,0.017225226902071872
Mixture10,0.06794495433264969,0.08881963618354152,0.0635077510330978,0.07640541198154041,0.025626501610161674,0.06135174163236194,0.08363394413767511,0.11422866312059755,0.15344521887842325,0.10573508277933587,0.052535773509998114,0.08270148175458908,0.02406383904602798
