sample_id,capillary_endothelial_cell,pericyte_cell,leukocyte,vein_endothelial_cell,fibroblast
Mixture1,0.1543701234442896,0.09913719899976266,0.4834962268029145,0.26299645075303324,0.0
Mixture2,0.2487799214254836,0.10622969362100967,0.0,0.42129260599802104,0.22369777895548565
Mixture3,0.0,0.14604413281529927,0.40052823454009306,0.17693270971951588,0.27649492292509176
Mixture4,0.06877712916642206,0.0994038828792063,0.3697613570918765,0.2459095392627322,0.21614809159976295
Mixture5,0.18332342169777172,0.07155886461248312,0.36259691821552065,0.12100378908562379,0.2615170063886008
Mixture6,0.2211576968026881,0.14803115254372126,0.38543457616789584,0.0,0.24537657448569467
Mixture7,0.10318558431836117,0.06256290140020673,0.5225895427724333,0.191336947466454,0.12032502404254485
Mixture8,0.14429978682760594,0.10564703788477614,0.4544585386773813,0.14101821570390857,0.15457642090632812
Mixture9,0.0,0.11220295525462746,0.4174409018904059,0.3153673236107916,0.15498881924417499
Mixture10,0.14100072086976242,0.1345000267140324,0.4271477781624709,0.2973514742537343,0.0
Mixture11,0.256518023271707,0.07194091397681181,0.315654085054226,0.2075616767251179,0.14832530097213728
Mixture12,0.10104892536872244,0.08908709029330673,0.261581308241051,0.32095504163364297,0.2273276344632768
Mixture13,0.17813590564828582,0.04633405339681862,0.350670971527965,0.23193100594765054,0.19292806347928002
Mixture14,0.24939346523410205,0.10131689722879089,0.4066836258372356,0.24260601169987148,0.0
Mixture15,0.24207797884713797,0.17705243133075652,0.0,0.3839309552371272,0.19693863458497832
Mixture16,0.24479310217722267,0.0,0.2655664932948464,0.16613140758611478,0.3235089969418161
Mixture17,0.19334328848253748,0.06920635126877654,0.35514029104395645,0.28511857805761515,0.09719149114711442
Mixture18,0.13228584084121103,0.11524318874753493,0.48153115289337195,0.15506681693164343,0.11587300058623871
Mixture19,0.2417026937916422,0.08642639221676443,0.48843204358230013,0.0,0.18343887040929327
Mixture20,0.20231847441940182,0.09561352973794066,0.2390740445114837,0.19480631826198766,0.2681876330691862
Mixture21,0.29708262082244286,0.20544889064065,0.3171490390282604,0.0,0.18031944950864673
Mixture22,0.14769753635412683,0.08020622317622188,0.2908551442298157,0.23210221346134416,0.24913888277849142
Mixture23,0.0,0.11367002952135982,0.477758952334387,0.16777819479466016,0.2407928233495931
Mixture24,0.0,0.12009456430075023,0.4995554049916789,0.15410111620350062,0.22624891450407023
Mixture25,0.10979729137465502,0.0,0.3813034369074352,0.22945042458771525,0.27944884713019447
Mixture26,0.1058900723503337,0.10034623344284357,0.4255587562973136,0.17198813879910516,0.196216799110404
Mixture27,0.18390534898838856,0.21788663640406877,0.0,0.32977658778343355,0.26843142682410914
Mixture28,0.11253973623975899,0.20116408426733437,0.0,0.3170745831866115,0.3692215963062951
Mixture29,0.28690659791503736,0.19486215287595224,0.33704680959294,0.18118443961607053,0.0
Mixture30,0.10006742054663566,0.07456823647612786,0.22208880946561257,0.32361403910966097,0.2796614944019629
Mixture31,0.2653006482140405,0.18847416285937044,0.33701431692389183,0.20921087200269728,0.0
Mixture32,0.1590752856231424,0.0,0.4276561637221849,0.259210664107898,0.15405788654677474
Mixture33,0.12419393752061712,0.15802176524757983,0.3846142303918499,0.14651297529562549,0.18665709154432775
Mixture34,0.24916429775366633,0.14861754198634908,0.41688782717338746,0.0,0.1853303330865971
Mixture35,0.17617991478012648,0.08992430810506653,0.43491586064835347,0.14076131153517546,0.158218604931278
Mixture36,0.17020251520380006,0.0,0.46623453961813494,0.1648154729226176,0.19874747225544745
Mixture37,0.21370376997551627,0.07451067752007798,0.3816076790311598,0.12383782560132223,0.20634004787192375
Mixture38,0.29532657720408423,0.0852473768156406,0.0,0.31416235412098276,0.3052636918592924
Mixture39,0.18317825732895782,0.15524455753599595,0.388993220214272,0.2725839649207742,0.0
Mixture40,0.09788103236121014,0.08806159342926224,0.4620349739688259,0.23546063081677826,0.1165617694239234
Mixture41,0.1661572783816669,0.09727987624781322,0.32435012084672254,0.22007924958328842,0.19213347494050892
Mixture42,0.29418024538082554,0.1817234569507309,0.0,0.21352513606934215,0.3105711615991015
Mixture43,0.11751794614340656,0.15589406314796678,0.285277999475626,0.24497293442092374,0.19633705681207694
Mixture44,0.14671274957344696,0.10702379732500374,0.4265972808379456,0.0,0.31966617226360367
Mixture45,0.0,0.1690537694910088,0.44461602207316236,0.17345887983503797,0.2128713286007908
Mixture46,0.1372326340780708,0.06354260133686201,0.45754419557227244,0.24473144207545583,0.0969491269373389
