sample_id,natural_killer_cell,cd8_positive_alpha_beta_cytotoxic_t_cell,b_cell,memory_t_cell,plasma_cell,plasmacytoid_dendritic_cell
Mixture1,0.3877969123132975,0.13413857375024757,0.06338027040742641,0.36593686988875945,0.04874737364026903,0.0
Mixture2,0.30782442491721185,0.2621926349025029,0.0,0.2603370130166502,0.1055755983072357,0.06407032885639936
Mixture3,0.0,0.2511064789220865,0.14022672478239834,0.44961155599931574,0.09184697276647333,0.06720826752972607
Mixture4,0.19944741431340862,0.1816257145848658,0.12747808261403118,0.38278308049753157,0.03829994510505465,0.07036576288510812
Mixture5,0.43087641418767614,0.16831622189783368,0.10553870013396086,0.20997365638707666,0.058911229648227086,0.026383777745225583
Mixture6,0.44510553901613287,0.21961114742973925,0.09085781200006121,0.0,0.12866241236593523,0.1157630891881314
Mixture7,0.4157718491496044,0.16611452140230093,0.05932723891541621,0.28756726504894703,0.0391608756758385,0.03205824980789295
Mixture8,0.22306844603043835,0.2325482674822328,0.05618045831071858,0.3671641468862601,0.07342787238355326,0.047610808906796934
Mixture9,0.20654256144155533,0.0,0.12948723989472158,0.556323132490277,0.07099314451298014,0.03665392166046598
Mixture10,0.2635714854813454,0.26474229544502675,0.10720511488701642,0.29122062364576623,0.07326048054084523,0.0
Mixture11,0.2096180197263009,0.32285310615216517,0.12909926442413916,0.2084247829303289,0.06361504744568548,0.06638977932138042
Mixture12,0.34440051621738127,0.1388973227946225,0.09570266170126235,0.2759527213637888,0.06960099778705893,0.07544578013588618
Mixture13,0.33609638925962193,0.1968300924568123,0.0913424240278171,0.31122197464840834,0.026524152186314338,0.03798496742102603
Mixture14,0.38362007123662073,0.25891462012438377,0.06780162190715297,0.24220654256250002,0.04745714416934245,0.0
Mixture15,0.4157292089505729,0.1636672072275684,0.0,0.3284863907849324,0.03795824369499297,0.054158949341933424
Mixture16,0.0,0.33801758242661445,0.16193666209674554,0.3352853781196497,0.12313655344617251,0.04162382391081775
Mixture17,0.21932442509143035,0.32013164375600484,0.04329991890227136,0.27101918499565425,0.08480849310278561,0.0614163341518536
Mixture18,0.2187532965628365,0.26538414541454286,0.12400736975885127,0.31963689209426205,0.03628030471232282,0.03593799145718448
Mixture19,0.36697798411560867,0.22333750690101983,0.10912455136007156,0.26092074579788854,0.0,0.03963921182541148
Mixture20,0.34151656659547075,0.22944694455668105,0.0644378769139489,0.3097322853000688,0.02739923506843651,0.027467091565394078
Mixture21,0.19980082516066644,0.31145641825787734,0.060872096178823235,0.35579241056399524,0.0,0.07207824983863768
Mixture22,0.42249350866251034,0.22150976133682018,0.10658520827399169,0.1537716642214784,0.056322289587905014,0.039317567917294426
Mixture23,0.3849364147745505,0.0,0.10304063962740106,0.38233770726659094,0.06806791019530428,0.061617328136153254
Mixture24,0.40547438772815836,0.2443330782095728,0.1653288039062084,0.0,0.10969476274770343,0.07516896740835699
Mixture25,0.35680764278602,0.273863026817395,0.0,0.23733089984272354,0.07681554097654704,0.05518288957731446
Mixture26,0.192018381833583,0.21300948973132144,0.07539619036170722,0.36700535505323817,0.07976555338980945,0.07280502963034072
Mixture27,0.3000784651880814,0.1645282181125492,0.14338901090172934,0.29913235751366635,0.0,0.09287194828397372
Mixture28,0.46119586104295157,0.2816998767966382,0.10667162795417112,0.0,0.09801891714065425,0.05241371706558489
