sample_id,type_II_pneumocyte,adventitial_cell,mature_NK_T_cell
Mixture1,0.8400053452106763,0.041589289664614566,0.11840536512470916
Mixture2,0.6572534047888665,0.1411099975758875,0.20163659763524605
Mixture3,0.7566067272062218,0.10009823230034573,0.1432950404934325
Mixture4,0.7116462850554122,0.11385642175606803,0.1744972931885199
Mixture5,0.7087866366481136,0.09136388503770212,0.1998494783141842
Mixture6,0.7214955227105676,0.10650419213160804,0.17200028515782437
Mixture7,0.7560279005431956,0.05754670067498739,0.18642539878181702
Mixture8,0.8505784703053819,0.0466683462116577,0.10275318348296042
Mixture9,0.8514870330290724,0.056846083576982925,0.09166688339394456
Mixture10,0.7079037267513127,0.08720527952435785,0.20489099372432942
Mixture11,0.9172591820712445,0.03220353740446371,0.0505372805242918
Mixture12,0.7569162773696468,0.10838254356290408,0.1347011790674491
Mixture13,0.8061649863083141,0.038096970548881705,0.15573804314280426
Mixture14,0.771906405894469,0.07370616660529276,0.1543874275002383
Mixture15,0.8094012083585813,0.10404080563458803,0.08655798600683076
Mixture16,0.726829263993561,0.08031556980957995,0.1928551661968591
Mixture17,0.8024460664388888,0.09800326948839003,0.09955066407272121
Mixture18,0.8876353994700388,0.04747307596391518,0.06489152456604602
Mixture19,0.750723506181265,0.11355858915355832,0.13571790466517658
Mixture20,0.8240333329289204,0.05760211254337812,0.11836455452770145
Mixture21,0.8597411515891688,0.08303116581855162,0.05722768259227958
Mixture22,0.830029547307798,0.06266820012177444,0.10730225257042768
Mixture23,0.8219730638850341,0.08900834641127585,0.08901858970369007
Mixture24,0.8026981766860919,0.09744612767383111,0.09985569564007694
Mixture25,0.6434952615404155,0.1520807211251652,0.20442401733441928
Mixture26,0.8224405664180181,0.08573742313714373,0.0918220104448381
Mixture27,0.8058725287909736,0.06974601922300201,0.12438145198602432
Mixture28,0.8537827465344877,0.036225055569959634,0.10999219789555267
Mixture29,0.811321551781024,0.10594561127880761,0.08273283694016838
Mixture30,0.813681965537865,0.09292816974907281,0.0933898647130622
Mixture31,0.755182961080655,0.07728715129021936,0.16752988762912568
Mixture32,0.8589054368904147,0.0382114344564424,0.10288312865314306
Mixture33,0.7540981458512619,0.1045028126195444,0.14139904152919383
Mixture34,0.7569056999753334,0.13727021690437838,0.1058240831202882
Mixture35,0.6764137222274635,0.16411492045927614,0.15947135731326034
Mixture36,0.7925812609793751,0.13048724100816073,0.07693149801246421
Mixture37,0.8082295672096091,0.0656846651970961,0.12608576759329465
Mixture38,0.7437398237749414,0.10541790343084136,0.15084227279421733
Mixture39,0.7029259816135623,0.15342087912102773,0.14365313926540998
Mixture40,0.7837102580405686,0.1063921846868925,0.10989755727253893
Mixture41,0.8159909833761025,0.07770985404459765,0.10629916257929976
Mixture42,0.8347768903094874,0.06353508458750017,0.10168802510301245
Mixture43,0.8568571420460634,0.07269172175064939,0.07045113620328726
Mixture44,0.8853120188231342,0.05257057432897188,0.06211740684789404
Mixture45,0.8143705496291695,0.0734886240219655,0.11214082634886496
Mixture46,0.8599657552596297,0.06255681807004236,0.07747742667032798
Mixture47,0.778127249953492,0.08580619323849702,0.13606655680801089
Mixture48,0.8443706538388673,0.07108123340996524,0.08454811275116743
Mixture49,0.6979004675838817,0.10120944728908376,0.20089008512703452
Mixture50,0.858397476806992,0.03871908788119707,0.10288343531181106
Mixture51,0.6759849091272706,0.12510948797240745,0.19890560290032186
Mixture52,0.8213261941293093,0.1168063350196504,0.06186747085104027
Mixture53,0.8015816557213811,0.0765270477751015,0.12189129650351738
Mixture54,0.813286809396275,0.10111741836374698,0.08559577223997802
