sample_id,fibroblast,macrophage,smooth_muscle_cell,mature_NK_T_cell,pericyte_cell,mast_cell
Mixture1,0.4611257973037656,0.17596580089872968,0.1825629698965856,0.07779764933299044,0.10254778256792871,0.0
Mixture2,0.34418883612656553,0.3234250879111143,0.0,0.05204450164626594,0.20884170666399904,0.07149986765205522
Mixture3,0.0,0.29894870279900837,0.3665671674847244,0.08674849316648402,0.1753493123855595,0.0723863241642237
Mixture4,0.21796454327369758,0.21897487712199398,0.3374710293614372,0.07479204503297128,0.0740483818171741,0.07674912339272595
Mixture5,0.4141783148677799,0.1784925619310557,0.2457479524228644,0.036086493130862464,0.1001826931010824,0.025311984546355054
Mixture6,0.3559036633033099,0.1937239672661855,0.17598484322587837,0.0,0.18200408212021996,0.09238344408440623
Mixture7,0.46432327696354136,0.2046597729360976,0.16049556784169727,0.05741826369723812,0.07737091780378545,0.03573220075764014
Mixture8,0.2597513237810118,0.29873922493250643,0.1584705034251572,0.07644078312281766,0.15126573136754182,0.055332433370965085
Mixture9,0.26416988776833866,0.0,0.401184604758731,0.12721727990281717,0.1606386868534802,0.04678954071663296
Mixture10,0.26436299814637737,0.29294432442563906,0.2604721429039965,0.05222393660855938,0.12999659791542773,0.0
Mixture11,0.1915035600479509,0.32539638290692713,0.28570348499730996,0.03404417619971006,0.10281774456567021,0.060534651282431726
Mixture12,0.35242418002512527,0.1568033341747619,0.23722991483816994,0.050487262036561315,0.126001974059788,0.07705333486559357
Mixture13,0.3673232316491288,0.23732066690267994,0.2418246759422451,0.06081350535248241,0.05128448990022955,0.04143343025323425
Mixture14,0.3992872567094739,0.297303633202939,0.17094946391934213,0.04507287204127918,0.08738677412696576,0.0
Mixture15,0.5355774402037479,0.23261243202674708,0.0,0.07566139623677101,0.0865122934474129,0.06963643808532113
Mixture16,0.0,0.343846275517782,0.36170476879088487,0.05527456929270586,0.20086880337793647,0.03830558302069082
Mixture17,0.23402666773747938,0.376848219473224,0.11192032542229523,0.05170393748686319,0.16009496561683043,0.06540588426330783
Mixture18,0.2257228667768811,0.3021032785657236,0.30996451555036963,0.05896890777752098,0.06622955793396533,0.037010873395539226
Mixture19,0.38071369125090265,0.25561107233630564,0.27423601401236375,0.04839631886269515,0.0,0.0410429035377328
Mixture20,0.38720577109214693,0.28699335323268416,0.17697617359080492,0.06278584687330258,0.054957689196027504,0.031081166015033912
