sample_id,lamp5_gabaergic_cortical_interneuron,sncg_gabaergic_cortical_interneuron,caudal_ganglionic_eminence_derived_gabaergic_cortical_interneuron,vip_gabaergic_cortical_interneuron,l5_extratelencephalic_projecting_glutamatergic_cortical_neuron,near_projecting_glutamatergic_cortical_neuron,corticothalamic_projecting_glutamatergic_cortical_neuron,l6b_glutamatergic_cortical_neuron,astrocyte_of_the_cerebral_cortex,vascular_leptomeningeal_cell,cerebral_cortex_endothelial_cell,microglial_cell,oligodendrocyte,oligodendrocyte_precursor_cell,chandelier_pvalb_gabaergic_cortical_interneuron,pvalb_gabaergic_cortical_interneuron,sst_gabaergic_cortical_interneuron
Mixture1,0.12939706692021627,0.08382845817448906,0.03172595196060245,0.2003335097096453,0.026903914141618385,0.07255849259187157,0.07583878663998198,0.0,0.0,0.010768565861563705,0.008456534980039674,0.06742724855363477,0.07468789531480896,0.032726608456364534,0.025968005116306595,0.1593789615788568,0.0
Mixture2,0.06874454909719775,0.03862315017719616,0.024874778395939445,0.0,0.03592540785682651,0.050238406816476004,0.0,0.08152424933436894,0.09799256979380915,0.018335966482745065,0.0,0.02626528827819551,0.09395980445650745,0.0452257299436646,0.07068586391917087,0.12256621154703118,0.22503802390087133
Mixture3,0.0,0.04060973985712293,0.0,0.08261990309210886,0.027608839372313895,0.0,0.05620403673868851,0.10559854362081104,0.06335478483745292,0.009791205309293493,0.015415294574617667,0.026304889037475493,0.15335084179011144,0.03354480558379723,0.055617175601758106,0.1801886022724246,0.14979133831202382
Mixture4,0.07416270740387315,0.06000738143160261,0.03993580411395228,0.11554263666774978,0.030489775085999826,0.05407298234391896,0.06358132571975723,0.060536206543503265,0.04585842493947723,0.014049070616934844,0.012236448804459002,0.042162062311019044,0.07923579801745825,0.023492165062170035,0.05016880181186145,0.10378733794705014,0.13068107117921285
Mixture5,0.05146854556119514,0.07722393201865499,0.030487505024608102,0.0,0.020099709898039577,0.04308087780480393,0.05009872530632475,0.10503489737967366,0.06141793872826383,0.011406502576646042,0.017042842185344884,0.042246162937036646,0.06776838307171981,0.0,0.061669139385227646,0.15345365285927973,0.2075011852631813
Mixture6,0.0,0.07260286067461579,0.022161501941420948,0.19568402302057217,0.028443486820933332,0.0,0.12182578754922946,0.09464624516987363,0.04742725502110928,0.013037353161826358,0.010463598053646704,0.06537373238189106,0.12346993532715252,0.027594710295344167,0.04328794632923815,0.0,0.13398156425314647
Mixture7,0.0,0.07884528709156795,0.04748495281412199,0.1064531922910562,0.0,0.037678791583184414,0.0617862042036078,0.08014820671321086,0.06818658643442838,0.01719997842108465,0.01050888197331191,0.043960996955887,0.07221518688628188,0.02637151015134966,0.06412005985227194,0.08548580307290157,0.1995543615557338
Mixture8,0.05378492463656441,0.05096753403930172,0.03851562774813136,0.145038846249958,0.032015068432040696,0.04947195426452418,0.07185465050003167,0.08566681812884491,0.03282229687072452,0.009874502237999988,0.012607854499392484,0.022065626667390297,0.07126707092335031,0.04213782172686757,0.05604078837225037,0.08748103965545598,0.13838757504717156
Mixture9,0.11083632924126648,0.06568508127293883,0.030689473793384433,0.10847527584116086,0.03729657981297858,0.03207549573089882,0.09900442335984384,0.04029854116771166,0.07868757189234965,0.00748356636488172,0.009235252999611844,0.03673007306852657,0.12244886531302417,0.050237849260336385,0.0,0.1017268808409022,0.06908874004018402
Mixture10,0.11206435113652125,0.03470043327718556,0.04034144794345382,0.0,0.024942847668179054,0.08766975534993181,0.06921601684629938,0.08438845550840751,0.06338395508302605,0.014487878151017137,0.012412997514283394,0.037344509040164474,0.07959103842328773,0.027972431071218155,0.06278066965562068,0.1622954288128502,0.08640778451855377
