sample_id,macrophage,fibroblast,T_cell,bladder_urothelial_cell,smooth_muscle_cell,myofibroblast_cell,pericyte_cell,mast_cell,mature_NK_T_cell
Mixture1,0.1406069598240529,0.24632329591539406,0.19846091946637048,0.0881677252500525,0.04009986852970619,0.1644265913661515,0.055293663182907724,0.0,0.0666209764653647
Mixture2,0.21614912839518255,0.0,0.10323922732974487,0.13086925940973823,0.07053106957823159,0.19555781719886398,0.13284855215482602,0.09857607321476108,0.052228872718651655
Mixture3,0.0,0.13621156652419025,0.20195136882253656,0.22402797506301173,0.025091827740266217,0.10556497276333623,0.11501489024717257,0.13624352009214788,0.05589387874733854
Mixture4,0.1743050055254316,0.2361882675943518,0.0950454227539468,0.11118097614800371,0.044277130698863236,0.1527748174326818,0.08811585468352873,0.06711092234830947,0.03100160281488295
Mixture5,0.13606963823987375,0.24726399247636507,0.14212094678600978,0.1421427927017976,0.034561011458439546,0.08137415066364251,0.05503257155444272,0.10464940693641367,0.05678548918301532
Mixture6,0.2013583717196225,0.2326484612253219,0.11244753785228669,0.11881549073305644,0.0,0.1543107612948568,0.04825110824422643,0.05145303123575319,0.0807152376948761
Mixture7,0.2672611576755603,0.09070046287998365,0.1280323884103296,0.1430258500533305,0.03182280482258649,0.17238529163876892,0.039347519128309624,0.062050737341408195,0.06537378804972276
Mixture8,0.21965586299803982,0.1370846159337042,0.12366550467837477,0.1514627037242157,0.036455929066666136,0.10115367878206,0.08471411757053536,0.04712252953123091,0.09868505771517311
Mixture9,0.0,0.1931811240322954,0.13578559303118998,0.15354216364411735,0.025013361885846568,0.2026115374415865,0.08433141023161526,0.09855983199358201,0.10697497773976694
Mixture10,0.23685359887041899,0.19694198451703465,0.1435322144524206,0.08850479759249982,0.06324831619359203,0.10544365332982232,0.10693051398657887,0.0,0.058544921057632725
Mixture11,0.23519574948762387,0.16352299686325464,0.08609643698264138,0.1290637779168886,0.04079199874452717,0.11086752884028969,0.08095713607951281,0.10704566974270203,0.04645870534255983
Mixture12,0.14547086231993997,0.23569623436839565,0.1341330428084647,0.15914543000217102,0.041513263242705295,0.10064746972803314,0.06687141618989464,0.054216881797487376,0.06230539954290816
Mixture13,0.1875283485664739,0.1734497378165593,0.16465739439369695,0.13092868778789957,0.036965861582922324,0.08849942518104563,0.05175451471612054,0.09652493850996026,0.06969109144532154
Mixture14,0.13907908430491148,0.22057275905546547,0.16684808955208197,0.15300909623182674,0.0,0.11632803647254265,0.07227530120756945,0.06092951619428027,0.07095811698132197
Mixture15,0.19053286468361805,0.21608541450781527,0.13452907997388694,0.0,0.055291701165453414,0.14803747092494549,0.10422272552095391,0.11240219880286732,0.038898544420459584
Mixture16,0.2615531129539873,0.0,0.08636863232522504,0.20281376689848313,0.04544275596651441,0.15394164081909212,0.09140495805284715,0.06447649979776376,0.09399863318608705
Mixture17,0.2162493129219876,0.15208794498303096,0.12758127748374026,0.12337339063690862,0.024676701836569972,0.13969492439769218,0.07725586685278274,0.08626634137385567,0.05281423951343192
Mixture18,0.12365614552061834,0.12904273100432,0.22592414808273856,0.23525589331415336,0.02413831033624971,0.07694541869104231,0.0425900534676255,0.07365623845540076,0.0687910611278514
Mixture19,0.132555507615328,0.2588488488772423,0.13000588065239893,0.14676475177383091,0.051285417326662044,0.10721491819789472,0.06157020180898167,0.1117544737476614,0.0
Mixture20,0.1420927823696867,0.25465319233056216,0.15308187823293262,0.12230962885185087,0.036820535182787544,0.08121378770326744,0.1020427408322986,0.045009331933951506,0.06277612256266253
Mixture21,0.3057882693920094,0.14358214409861458,0.08943466200051599,0.1258491532057995,0.025001300856116102,0.1383084343674154,0.0,0.09545962135274962,0.07657641472677937
Mixture22,0.12423504827079213,0.17895997742747902,0.12746246906112843,0.13001918869714835,0.023391486337360923,0.1624423500881548,0.07756590806100798,0.08907629184873078,0.08684728020819758
Mixture23,0.12426310844031188,0.2799627334598091,0.1967447210544744,0.0,0.046390412243417264,0.13721425216224956,0.08263280360590895,0.0692061760687967,0.06358579296503211
Mixture24,0.17055078501247947,0.2432027792714523,0.11798413330601357,0.0,0.03167208143503944,0.1896634007172415,0.06821526713874682,0.10036640232066586,0.07834515079836113
Mixture25,0.1905460519323041,0.18166391438090618,0.16162714048156696,0.19274273627930497,0.0,0.07362475692873205,0.07883687256407661,0.06603113339368975,0.0549273940394194
Mixture26,0.16683845729028107,0.19684356815365936,0.16829658559920413,0.15883495834587513,0.05351279804508624,0.09825135376863149,0.05185613918102008,0.07785942013707742,0.027706719479165122
Mixture27,0.20620805070423837,0.2244017999087542,0.17236713372905968,0.07427895565534401,0.0539171786214243,0.1084979266626112,0.08072279326966547,0.07960616144890284,0.0
Mixture28,0.21139371076103003,0.18337426064152906,0.12024198828203596,0.20182294033813564,0.03271199907017959,0.0,0.08027784383457313,0.10485076903673721,0.0653264880357794
Mixture29,0.19539666709611472,0.20281536415043622,0.17958261561681899,0.11381838370941914,0.03287446398970425,0.0,0.09760596716631655,0.11245478051099488,0.06545175776019532
Mixture30,0.20296626055759495,0.16408995013802258,0.10350282429372105,0.10005308314075619,0.0551470829218151,0.12424524903584815,0.09183520484266848,0.07454072402967454,0.08361962103989891
Mixture31,0.2709030424505127,0.3102124534589207,0.09092635499822166,0.0,0.03119004788944713,0.09188050361728979,0.0863221683201282,0.06321809079967451,0.05534733846580532
Mixture32,0.23572837337551172,0.0,0.18459085840888007,0.1314777694414797,0.05777082280093325,0.12218589848306448,0.06120833368670776,0.1203635541863514,0.08667438961707163
Mixture33,0.22842542445655697,0.2389978415507791,0.08519497221098202,0.1133552299919736,0.05445910117364051,0.08395011274074256,0.08560570947744388,0.05921657588123389,0.050795032516647534
Mixture34,0.23737082335328297,0.13246621155343163,0.1425193198472522,0.1947831969264306,0.0,0.12267087393696509,0.09396887765160261,0.042824830660591374,0.033395866070443474
