sample_id,fibroblast,acinar_cell_of_salivary_gland,monocyte,adventitial_cell,mature_NK_T_cell,duct_epithelial_cell,endothelial_cell,endothelial_cell_of_lymphatic_vessel,pericyte_cell,basal_cell
Mixture1,0.1849630208159313,0.35483619902459645,0.07913961871630021,0.032969608760319166,0.04926997041186674,0.0,0.04556419222075675,0.0,0.057613697331373996,0.19564369271885534
Mixture2,0.19753161986272458,0.0,0.0,0.04746612218737583,0.07354166202763832,0.1802275544391345,0.13923546057953395,0.06792389409769743,0.06260160298863698,0.23147208381725837
Mixture3,0.0,0.2735681380717527,0.10643607155638528,0.06922479944640342,0.0,0.14139825303747897,0.10269763540635131,0.11099208765876514,0.041128288506131,0.15455472631673225
Mixture4,0.10755661471417113,0.34735856605257537,0.07911806211298653,0.04712487581156999,0.038916820143765504,0.14511380672486102,0.04412307468668591,0.07314240542751481,0.03518320135278969,0.08236257297308
Mixture5,0.1876516932015552,0.24773081878510086,0.09568673962929367,0.02940831506338202,0.03551659549317585,0.20286180488936562,0.07133565793105931,0.0,0.028817237716438612,0.1009911372906289
Mixture6,0.14960213667606062,0.44588548589207055,0.05655403687525519,0.03503516307542631,0.0,0.0,0.04111357972098681,0.03999988604000294,0.05667656791049705,0.17513314380970046
Mixture7,0.15615210286598544,0.40139324970872664,0.056633878167957216,0.04705046947581239,0.0,0.16485688367215356,0.023061550602835622,0.054646412072925116,0.026008733067300626,0.07019672036630346
Mixture8,0.0884607427853885,0.44954029906845744,0.07238472156978544,0.026193145822588776,0.02763474697932695,0.1395262357513761,0.02648448075345132,0.06231070697108618,0.02882350730572553,0.07864141299281374
Mixture9,0.06364098347152164,0.4404021469292148,0.06175119912121326,0.05409331655509809,0.04209051069429322,0.10941780257828511,0.04763833862732369,0.05590503292765956,0.03679523401492278,0.08826543508046786
Mixture10,0.1487872487789981,0.2731828179956767,0.05099429580757676,0.025953005406142277,0.039017073497146094,0.1668905717354367,0.06906146592518696,0.05971011424612063,0.04750474288498727,0.11889866372272852
Mixture11,0.15311100269858127,0.44972298444595454,0.0,0.030888172879654157,0.030332653637451756,0.09760609027160122,0.052562344914081904,0.07664820767629218,0.04045400226668172,0.06867454120970125
Mixture12,0.0,0.4346910140223913,0.06491638150319937,0.045157523471087514,0.033863331370022766,0.12379512896360037,0.054830649080656005,0.0405589956338953,0.04209965780052125,0.16008731815462612
Mixture13,0.1584350347938778,0.19374151619321286,0.042253756174844344,0.04438755746811844,0.03844594180608657,0.21592309060644535,0.06285763133513186,0.07635704635144658,0.0273659385721165,0.1402324866987197
Mixture14,0.0,0.4289433947728035,0.08514513843221232,0.04989824603733399,0.0,0.17074985118362968,0.04543144317506924,0.06171017625351089,0.03644774948166324,0.12167400066377713
Mixture15,0.1278733548090805,0.3741025437842215,0.061118387632216144,0.0,0.04233893684089739,0.1709265558016595,0.0802199675164373,0.07893409826855256,0.0,0.06448615534693522
Mixture16,0.231455965932138,0.0,0.10926045439949511,0.03913370526944942,0.06446563118847241,0.26567821101841,0.0,0.08270040074662534,0.03086244135250641,0.1764431900929033
