sample_id,cardiac_muscle_cell,mural_cell,mast_cell,cardiac_neuron,endothelial_cell,fibroblast_of_cardiac_tissue,myeloid_cell,lymphocyte,fat_cell
Mixture1,0.23936871046613686,0.288496387491752,0.04902415341773548,0.027335538506764404,0.12350610170949379,0.2034922047120809,0.06078393029397635,0.0,0.007992973402060144
Mixture2,0.3349632785130014,0.0,0.023214695797467485,0.03693505844363522,0.19774662641003365,0.22030991980250217,0.13293930043258226,0.04818696749102422,0.0057041531097536645
Mixture3,0.0,0.23016958033586918,0.07197488019211869,0.10021190017383554,0.11150049836986703,0.188492732038474,0.18241751308401344,0.10555767983280602,0.009675215973016075
Mixture4,0.27139381173814175,0.25300128840384145,0.02147315357166312,0.031526662701370556,0.12472527050019366,0.17292469426762155,0.08859250734119004,0.032960793736242465,0.0034018177397353794
Mixture5,0.248790977888464,0.31103452931224007,0.037705615155321476,0.04733208945113115,0.11432593035210545,0.10816207915959414,0.06497496546013701,0.06035656849592815,0.007317244725078627
Mixture6,0.356622977718955,0.2834745966453936,0.02889775624541523,0.038323938376831554,0.0,0.19867856130675882,0.05518229740268936,0.02874517577338337,0.010074696530573165
Mixture7,0.4404673384370889,0.10283991253301401,0.030617678159388446,0.04292890769713777,0.09488579993469504,0.2065347979240881,0.04187434948893858,0.03225812967527579,0.007593086150373266
Mixture8,0.3816725872961519,0.16387443941225893,0.031179653520739703,0.04793042831299866,0.11460438709962753,0.1277747418853414,0.09505102703948733,0.02582802133111989,0.012084714102274711
Mixture9,0.0,0.2850797274554032,0.042262535720152636,0.05998082126509194,0.09706983369225823,0.31594148074286293,0.11680717811989452,0.06668707092591684,0.01617135207841978
Mixture10,0.3516508186994184,0.20116123119319196,0.030921145313921074,0.023930727079829458,0.16988910024247253,0.11380654808532087,0.1025147017738054,0.0,0.006125727612040236
Mixture11,0.37486849284235685,0.17930922745937716,0.01991173904073963,0.03746375292649646,0.11762763362291224,0.12846032018344541,0.08332157314192339,0.05381866827508441,0.0052185925076644905
