sample_id,fibroblast,endothelial_cell,myofibroblast_cell,macrophage
Mixture1,0.3732160124398716,0.27852880441124406,0.18324281935019937,0.16501236379868506
Mixture2,0.42197684754830184,0.169953612173516,0.20049506042681633,0.20757447985136582
Mixture3,0.3876607389994892,0.35904994119761724,0.10441922245929376,0.14887009734359982
Mixture4,0.34152944089586557,0.36250731058806407,0.10080576637696576,0.19515748213910464
Mixture5,0.3601472708359227,0.19579802971331733,0.1999826754037869,0.2440720240469731
Mixture6,0.32281237937560203,0.3372958008780507,0.14816642706123856,0.1917253926851088
Mixture7,0.2871428813595684,0.23497053390543282,0.2098829792164715,0.2680036055185272
Mixture8,0.35078100206226187,0.36588890496993454,0.10388570334972201,0.17944438961808157
Mixture9,0.26767591133923474,0.3475193501389146,0.18933781115494586,0.19546692736690485
Mixture10,0.34045962044225997,0.33597342307540634,0.13051114612745635,0.19305581035487734
Mixture11,0.33395171247107197,0.22063809366970352,0.11783110936131687,0.32757908449790757
Mixture12,0.48226669732003885,0.2613369065123759,0.13627160041352585,0.12012479575405946
Mixture13,0.385615820215538,0.3028272283503956,0.07405594887005743,0.23750100256400913
Mixture14,0.4164883372386428,0.24098520392719383,0.1912314665012434,0.15129499233292
Mixture15,0.2716524829375585,0.3808451632668412,0.221685288205316,0.12581706559028427
Mixture16,0.41489751915392503,0.37470759546310156,0.1173102434303054,0.09308464195266812
Mixture17,0.26762840931952236,0.36350702496078263,0.23030648419907326,0.1385580815206217
Mixture18,0.31357482598570896,0.3509423106218435,0.14539604107572965,0.19008682231671797
Mixture19,0.34857414076026727,0.26953217285195835,0.15160533714173044,0.23028834924604394
Mixture20,0.20038376418877119,0.4581922016405339,0.23840817342673423,0.10301586074396059
Mixture21,0.4645027093384718,0.2034211679238022,0.22712524210331758,0.10495088063440836
Mixture22,0.3353640381972384,0.3403527903644773,0.1614486336282161,0.16283453781006818
Mixture23,0.3482820130815648,0.2948487257991695,0.16717160861152217,0.1896976525077436
Mixture24,0.38371751434853535,0.2188133612734706,0.16776005289803525,0.2297090714799589
Mixture25,0.4543332805856927,0.3184124106868106,0.09078128243344279,0.1364730262940538
Mixture26,0.269912697010722,0.3663771148459289,0.19764815295411048,0.16606203518923862
Mixture27,0.3447043981274325,0.3977235534636421,0.12985030413376228,0.12772174427516314
Mixture28,0.3958409266761584,0.3097825639989039,0.20476907618246173,0.08960743314247595
Mixture29,0.2075178053915552,0.44186037314530147,0.10309751190728196,0.24752430955586133
Mixture30,0.2614865168629724,0.298904432789684,0.13884045472803086,0.30076859561931263
Mixture31,0.4504930749052699,0.19387590597028354,0.19749422231992173,0.15813679680452486
Mixture32,0.3453782093984505,0.3708301296957108,0.085373192379981,0.1984184685258577
Mixture33,0.21883798466726462,0.39916295011300446,0.17011166608411665,0.21188739913561427
Mixture34,0.24717569580562698,0.38246516333052716,0.12639421903438536,0.2439649218294605
Mixture35,0.39312681760838253,0.32647180647374263,0.1671272108287819,0.1132741650890929
Mixture36,0.4255009939130147,0.16230616210440313,0.15035583425347035,0.26183700972911184
Mixture37,0.27609387595728574,0.3649999678701006,0.20626270916328016,0.1526434470093336
Mixture38,0.3833277975392771,0.26607277732817286,0.1467584742957362,0.20384095083681378
Mixture39,0.3123808911829654,0.2683072275240755,0.22650637816825933,0.1928055031246998
Mixture40,0.42476802383614004,0.25320553098053794,0.17787950101588174,0.14414694416744026
Mixture41,0.3731442542324964,0.25152039161699596,0.18502763510413325,0.19030771904637436
Mixture42,0.3993727816843951,0.20518945521174195,0.20556963087170205,0.18986813223216087
Mixture43,0.3449796801887726,0.216319091577559,0.22348711964083126,0.21521410859283718
Mixture44,0.2865559948977296,0.2771450068265981,0.16465143995702516,0.2716475583186471
Mixture45,0.34558134915322564,0.272810459067615,0.15375643113712992,0.2278517606420295
Mixture46,0.4343360132528472,0.2114778897404112,0.16217496559981734,0.19201113140692416
Mixture47,0.39198347067377376,0.2703571460777235,0.16786119716620715,0.16979818608229555
Mixture48,0.3149566292423478,0.2423806834720508,0.1084048367861399,0.33425785049946155
Mixture49,0.3942216040290237,0.2744431818234722,0.12836996701216494,0.20296524713533926
