sample_id,conjunctival_epithelial_cell,keratocyte,retinal_blood_vessel_endothelial_cell,corneal_epithelial_cell,melanocyte,eye_photoreceptor_cell,Muller_cell
Mixture1,0.23153938264696283,0.10351822758115527,0.17425192047262486,0.2993562742167201,0.0,0.0850672798252902,0.10626691525724673
Mixture2,0.4255006627983752,0.16255511062822267,0.0,0.196577397999835,0.035644103742159365,0.07609216716931841,0.10363055766208935
Mixture3,0.4016167282158173,0.11813536317268648,0.11055883781773972,0.19113287744630666,0.0,0.09001859203109018,0.08853760131635967
Mixture4,0.30620884704185275,0.10443617746026189,0.0654480394583761,0.29988141010980407,0.029837353815941547,0.07687679015756173,0.11731138195620192
Mixture5,0.2998878397504934,0.09683965188925124,0.08432110504322261,0.2642304926315157,0.045868518923116414,0.09682591603414677,0.11202647572825389
Mixture6,0.41997544649629287,0.06641461314891492,0.09368693237033197,0.30121434408635034,0.05865565191709594,0.06005301198101405,0.0
Mixture7,0.38945569960734394,0.16627146780884344,0.08785179675719561,0.17277345274266634,0.05429738369485609,0.06549643430722196,0.06385376508187258
Mixture8,0.4504596642729675,0.066144845668442,0.11742216829708034,0.19422893040385278,0.02452937744274083,0.06142748498863154,0.08578752892628497
Mixture9,0.4686541200498968,0.0,0.18004483320475176,0.1346004683175331,0.04567674740612805,0.12078696691096397,0.05023686411072616
Mixture10,0.32858212139436926,0.14481417217586592,0.07723249604688318,0.2427592597079135,0.0,0.11816800890450958,0.0884439417704586
Mixture11,0.39722317118732287,0.09447836569795505,0.09870894964100145,0.15082678854144105,0.0540253122853079,0.11634758494237953,0.0883898277045922
Mixture12,0.3100052780133149,0.10288455464687575,0.10353732929959952,0.24747138406709648,0.039153133047128495,0.10478091014445667,0.09216741078152815
Mixture13,0.4025845190517522,0.14197364692427647,0.055793101870651354,0.16100402650187343,0.05213722005561136,0.0941767408772344,0.0923307447186009
Mixture14,0.3337505885771547,0.11736019454380357,0.10633835787919223,0.30300973581857144,0.070966545420448,0.06857457776082995,0.0
Mixture15,0.24381729234635785,0.17031610927608415,0.0,0.26174199938874043,0.07167882334472866,0.16378311253318295,0.08866266311090588
Mixture16,0.0,0.10809738349927503,0.22632573280388613,0.32448744049810574,0.0458437127261052,0.11561493498713943,0.17963079548548855
Mixture17,0.2373291662225645,0.17624563635329818,0.16258204507288276,0.11050061260992713,0.07055178258000001,0.09747329651896906,0.14531746064235826
Mixture18,0.3490868997152163,0.06435896167575157,0.11155968890632054,0.24615885548534475,0.03824489718134509,0.057678451383687886,0.1329122456523338
Mixture19,0.2797577277024207,0.11784720195120447,0.13477345943520497,0.25629412693446507,0.0,0.1258471361754493,0.08548034780125549
Mixture20,0.19570351526737484,0.17447837389907844,0.16880558493437192,0.1736691804737064,0.07515567105121453,0.11325156561442294,0.0989361087598309
Mixture21,0.2394446893079577,0.14796462857205941,0.18853705055787348,0.12790470755038155,0.0,0.15596680012947003,0.14018212388225773
Mixture22,0.4215647357730342,0.11310846142444039,0.09564297721855328,0.17981491715287526,0.06047284217033211,0.08064561973084293,0.04875044652992176
Mixture23,0.3566420633276228,0.0,0.1444240478852896,0.2857872834601199,0.06196802716108568,0.08064221384759099,0.07053636431829113
Mixture24,0.4554453376862955,0.152797431667576,0.10449054107611987,0.0,0.04946155879526244,0.1390975460565188,0.09870758471822727
Mixture25,0.3197858315507984,0.15750270778553757,0.0,0.19724252110591234,0.04492400981284983,0.12301918755545015,0.1575257421894518
Mixture26,0.4318582435912915,0.11454048471304278,0.12246355825247025,0.15409383401647325,0.04118203675815923,0.05076562510700645,0.08509621756155665
