sample_id,capillary_endothelial_cell,vein_endothelial_cell,vascular_associated_smooth_muscle_cell,fibroblast,medullary_thymic_epithelial_cell,plasma_cell,monocyte,macrophage,endothelial_cell_of_artery
Mixture1,0.1500585746885617,0.2162388803983614,0.2265939334186277,0.10314770419796082,0.032409152426358036,0.07269033941803835,0.09683169514888083,0.0,0.10202972030321109
Mixture2,0.21846241262585614,0.0,0.11163162911936166,0.14499626419615091,0.05398516491977178,0.08187457563825129,0.22032726104604775,0.09297043272643771,0.07575225972812288
Mixture3,0.0,0.1085182340589681,0.20925724990310554,0.23785518145544393,0.018404221650678464,0.04235307194714479,0.18279178523239362,0.12313468090019279,0.07768557485207274
Mixture4,0.1852989107399974,0.2065359355761888,0.10809696347617351,0.1295655137251219,0.03564619697067789,0.06727681528495193,0.15371110284347433,0.06657425520447635,0.047294306178937914
Mixture5,0.13932193263835635,0.20825404019395954,0.15568100711764246,0.159543470582225,0.026798805073472765,0.034514006202568066,0.092462629530303,0.09998736720165334,0.08343674145981947
Mixture6,0.21190775749215618,0.2013963741793655,0.1266036993303628,0.1370711833856503,0.0,0.06727040198085096,0.08332448360043677,0.05052871242687927,0.12189738760429822
Mixture7,0.28209340987472514,0.07874824736465723,0.14457600594238437,0.1654884026474343,0.025437022614808017,0.07537163688905646,0.06814949209632115,0.06111589036975859,0.09901989220085475
Mixture8,0.21432684362747603,0.11002637031527723,0.12909268175089975,0.16200760604630002,0.026938453795362305,0.04088519696543908,0.1356368617177862,0.04290545037225813,0.1381805354092013
Mixture9,0.0,0.16566000635153044,0.15144385654803327,0.17546975680931476,0.0197479254428882,0.08749706854353065,0.14426341970998807,0.09588015837912577,0.1600378082155888
Mixture10,0.23673869209898177,0.16192051033779498,0.1534821667345657,0.09697326102211,0.04787501794850781,0.04365764897059989,0.17537960330399996,0.0,0.08397309958343988
Mixture11,0.24011384828662263,0.13732223883959196,0.09403557807515024,0.14444018768677497,0.03153794930137987,0.04688595333340525,0.13562228235828452,0.10197810666308947,0.0680638554557011
Mixture12,0.14841382264384606,0.1977995413049037,0.14640415251100672,0.17798706480108686,0.032074207689536054,0.042535529476404356,0.11195075626621483,0.051615837156071286,0.09121908815093006
Mixture13,0.18950927211301347,0.14418214435575638,0.17801805570953266,0.1450421673854553,0.028290139768134704,0.03704713503686154,0.08582226027309192,0.09102342426961627,0.1010654010885378
Mixture14,0.14016999010447698,0.1828602856497685,0.17990106677005938,0.16904658476434795,0.0,0.04856554443601451,0.11952845430064502,0.05730216767430857,0.10262590630037909
Mixture15,0.2011688640017712,0.18766816952507273,0.15195896214446367,0.0,0.04421010477071074,0.06474603345391859,0.18056828181048534,0.11074287005523255,0.05893671423834523
Mixture16,0.2565479533212108,0.0,0.09063250502844153,0.21807306297464402,0.0337554614141215,0.06254828643663099,0.14711826271760936,0.05901470160713319,0.13230976650020862
Mixture17,0.22231785744579427,0.12861413522362092,0.14032202352618248,0.13903913067468865,0.01921221558816391,0.05949094711310624,0.13032845745484403,0.08275821085984744,0.07791702211375202
Mixture18,0.12160257080951727,0.10438423081715842,0.23768894615482772,0.25360831832884184,0.017976479495383682,0.031344436214403595,0.06872637062816497,0.06759066028627528,0.09707798726542732
Mixture19,0.14192002838336645,0.22796409424776878,0.14891148342844046,0.17225173607949082,0.041582493829031036,0.047550137244564146,0.10816946017443631,0.11165056661290194,0.0
Mixture20,0.14062032309724767,0.20730009258942725,0.16207615884963406,0.13268830689901034,0.027595412819983227,0.033293272311539085,0.16570910100629976,0.04156509153950582,0.08915224088735277
Mixture21,0.3278430933850979,0.1266251434389429,0.10258181247376622,0.1479079257862383,0.02029918257890435,0.06142490975246436,0.0,0.09550256294443553,0.1178153696401505
Mixture22,0.1280284963049905,0.15170249590833668,0.14052840559425253,0.1468810926585702,0.01825538749658495,0.0693445636319281,0.13116608796103577,0.08565934369793665,0.12843412674636462
Mixture23,0.13101968777324505,0.24281128660429233,0.22193035896793226,0.0,0.037041904217165134,0.05992999119510975,0.14296673789932943,0.0680909355972908,0.09620909774563519
Mixture24,0.18590691889977207,0.21806434551578122,0.13758931783222125,0.0,0.026145031028968334,0.08563987167047449,0.12201454023598164,0.1020893147814784,0.1225506600353227
Mixture25,0.18599229832843428,0.1458605921668811,0.16878295111195563,0.20623812786823403,0.0,0.029769361806679856,0.12627360141836017,0.060144214822656285,0.07693885247679866
Mixture26,0.17349082097715007,0.16837432347850576,0.18722977792503057,0.18105993553783226,0.04214137697739829,0.04232232558326387,0.08848480317289453,0.07555124112534273,0.041345395222581995
Mixture27,0.21725642016030247,0.1944767268703933,0.19428565798143901,0.0857884305112632,0.04301945323956267,0.04735208270338514,0.13955691383508692,0.07826431469856726,0.0
Mixture28,0.1993898160579791,0.1422733587525999,0.12133506850885778,0.20867833870831856,0.023366233982675583,0.0,0.12424953807140267,0.09228532202096548,0.08842232389720099
Mixture29,0.1838087240316922,0.15693655625296124,0.18073095427209104,0.11737005656352101,0.023419540770170645,0.0,0.1506653937438261,0.0987136003998599,0.08835517396587782
Mixture30,0.20463760891775837,0.1360873895668012,0.11164340749064923,0.11058290877873769,0.04210705550394773,0.05189099965400029,0.15193540030083438,0.07013023764286455,0.12098499214440657
Mixture31,0.28070005027876266,0.2644004163034702,0.10079469381054604,0.0,0.024474587180403497,0.039436886354055914,0.14677061762971286,0.06112517073938714,0.08229757770366171
Mixture32,0.23366300579684854,0.0,0.1957526136667254,0.14286516871440122,0.04336680012922113,0.050170661869647616,0.09955815262200796,0.1113328186887682,0.12329077851238
Mixture33,0.2318885519686374,0.19957362460873262,0.09252692173950634,0.12614567403002822,0.041867406868712015,0.03530260844403249,0.1426020510571865,0.05609553065653383,0.07399763062663066
Mixture34,0.236136299330331,0.1083963929658779,0.15168004120982606,0.21241385327765389,0.0,0.050550740282959875,0.1533937375306564,0.03975403102878532,0.047674904373909574
Mixture35,0.14867759739712896,0.19980708550528567,0.11135669172904196,0.16546122776475164,0.03813220528902317,0.0497649512192161,0.12547659471890776,0.08313956797709589,0.07818407839954881
Mixture36,0.2295328813998263,0.22229528418953365,0.1114669448531162,0.11966507223331792,0.033622711317116055,0.0,0.10391064394843649,0.062489921430952514,0.11701654062770084
Mixture37,0.20097758244909883,0.16321610179413926,0.16034117696703132,0.13733857403327426,0.016188608805953623,0.035083133822232306,0.12720329505753086,0.08809476394502652,0.07155676312571303
Mixture38,0.1317445956594994,0.17055645541384334,0.24443561897975197,0.19228726056273568,0.038577319273411514,0.0505454315072854,0.0,0.11014371386828647,0.06170960473518627
Mixture39,0.21545859325758815,0.12380398083689963,0.10334657896859253,0.21133357174817344,0.04816872060511565,0.0,0.161906341306141,0.0669030100852354,0.06907920319225416
Mixture40,0.10847019377252916,0.2184259104950689,0.1898573601817461,0.1814403405484239,0.02213175448519621,0.028327527750537224,0.06717592445545273,0.10968687559581108,0.07448411271523475
Mixture41,0.11428574741600783,0.19860286030247468,0.18373827093859252,0.22918905007645138,0.024358068494630552,0.027943563609996225,0.06789253169558246,0.10193843527397548,0.05205147219228898
Mixture42,0.18088295105535174,0.22254611776096656,0.0,0.11810672197254593,0.037615554705429474,0.04891762027837514,0.17264820040642812,0.09388600750657572,0.1253968263143273
Mixture43,0.11553831377917373,0.2099804831116824,0.10804976769053631,0.13815828578606754,0.03527384287029285,0.04182636331171403,0.10092931688030453,0.10258730968536516,0.14765631688486353
