sample_id,natural_killer_cell,endothelial_cell,stromal_cell,smooth_muscle_cell,pericyte,secretory_cell,endothelial_cell_of_lymphatic_vessel,macrophage,b_cell,mast_cell,ciliated_epithelial_cell
Mixture1,0.10093272379050977,0.08735347611019795,0.32405095838034514,0.08314518346097603,0.1459313940991889,0.10941555172180001,0.04886909245519955,0.05139237745000173,0.0,0.0,0.04890924253178091
Mixture2,0.16820354280292926,0.0,0.0,0.10346678928799632,0.27664314311569127,0.16879634291221723,0.10041027860035286,0.08265354313125442,0.04263302686624324,0.020907303543377657,0.03628602973993766
Mixture3,0.17305797106303994,0.08932814121328898,0.27047812479587025,0.10098392043480436,0.0,0.0,0.08532948717746472,0.08519631457932797,0.04413588808286324,0.06434835882654705,0.0871417938267935
Mixture4,0.0712367439645121,0.09627031295439163,0.28593547053329094,0.09328641103426101,0.13690070465027968,0.11338515144515023,0.04779607830740906,0.053201619103109554,0.050904464849616506,0.022824570928933894,0.02825847222904539
Mixture5,0.09680611244601767,0.07335803981558753,0.3061123207247747,0.05175432240746223,0.18571532924219677,0.13747254518864677,0.04539501380620601,0.0,0.038496017255857905,0.03726621693164639,0.027624082181603976
Mixture6,0.1260698220076496,0.07630911204827924,0.29772396039550386,0.11978351589410188,0.19375269468930414,0.0,0.0,0.06254723081082453,0.03824145799172712,0.01864198964309632,0.06693021651951322
Mixture7,0.05620673596099959,0.16262370673681995,0.28801277801464903,0.12312075360974281,0.0,0.08515049374710526,0.03515264937971734,0.10868725591554045,0.05351694968672526,0.023742668438480104,0.0637860085102202
Mixture8,0.08405180238228874,0.07795596296858497,0.2942837389828887,0.12053716459338927,0.1556247368146552,0.07219437563136136,0.04999254230565153,0.040656657831941195,0.0486550920451888,0.02766004197396941,0.02838788447008084
Mixture9,0.058945657968612626,0.08682130323946151,0.22557083895520397,0.11858986475179499,0.14510081182310594,0.09348001277956494,0.03483268377353979,0.1043668033930602,0.045077210695108096,0.028937109864474096,0.05827770275607378
Mixture10,0.07686705609063184,0.11937039147037953,0.22231253937010736,0.10057298906539228,0.10015297926172011,0.08279946189246201,0.06965928807571024,0.0841360567914315,0.056718020562052746,0.03586300703307874,0.05154821038703358
Mixture11,0.1163840633193995,0.18375296262720545,0.0,0.06870412916545443,0.1484698926624967,0.15078467322291705,0.0580135723747496,0.11767134340459391,0.06914314475154384,0.037243226591450275,0.04983299188018922
Mixture12,0.12010124032865588,0.07855385373734577,0.349359833259,0.05360010204516564,0.1557781944313567,0.06395458445802395,0.0661087443996712,0.0,0.05469591533340686,0.02728522584103178,0.030562306166342125
Mixture13,0.0491488684336877,0.09788913237273811,0.282898236396353,0.09594786519730644,0.15212066256218967,0.11758597644672922,0.03771682212667462,0.04326408703997521,0.04574089755987078,0.03693067324989179,0.04075677861458346
Mixture14,0.10027565114048734,0.08409372834332761,0.30644005899541654,0.10685806488110995,0.15137049772269445,0.11507298407865597,0.05737599308694843,0.0,0.049757960415105634,0.028755061336254037,0.0
Mixture15,0.07892856936796033,0.11072672587213263,0.29679523243417766,0.09372801907104301,0.18398172187517417,0.12045311998552792,0.037146176693845886,0.0,0.053642691134594606,0.024597743565543746,0.0
Mixture16,0.11480210804737563,0.0,0.1730393130067483,0.13049064040281338,0.21743889206492437,0.14075845617477287,0.0,0.05976984102922051,0.07624085474117592,0.03912846152590484,0.0483314330070642
