sample_id,lamp5_gabaergic_cortical_interneuron,sncg_gabaergic_cortical_interneuron,caudal_ganglionic_eminence_derived_gabaergic_cortical_interneuron,vip_gabaergic_cortical_interneuron,l5_extratelencephalic_projecting_glutamatergic_cortical_neuron,near_projecting_glutamatergic_cortical_neuron,corticothalamic_projecting_glutamatergic_cortical_neuron,l6b_glutamatergic_cortical_neuron,cerebral_cortex_endothelial_cell,oligodendrocyte,astrocyte_of_the_cerebral_cortex,microglial_cell,oligodendrocyte_precursor_cell,vascular_leptomeningeal_cell,chandelier_pvalb_gabaergic_cortical_interneuron,pvalb_gabaergic_cortical_interneuron,sst_gabaergic_cortical_interneuron
Mixture1,0.10015215507608762,0.05480231006067505,0.018008685511438163,0.15462152276088417,0.021011283507064504,0.05192887908509001,0.14147141736124016,0.0,0.0,0.09192410467690369,0.05476493940749653,0.06855411110845962,0.03848574417043665,0.009134469058622106,0.02177386932662836,0.17336650888897334,0.0
Mixture2,0.05827004102779515,0.027651982241535634,0.015463142621069294,0.0,0.030726281934641567,0.03937565075621486,0.0,0.094716465434795,0.02027592811569125,0.17141409727284695,0.0,0.029244986628567574,0.05302283699500862,0.013824170546984364,0.06490838207236735,0.14600783552357274,0.23509819882890967
Mixture3,0.0,0.025906204675314473,0.0,0.06222533243536757,0.02104027744659457,0.0,0.10230833937756022,0.10931798335307033,0.011680515893311311,0.08155937614594023,0.09741552780067969,0.026097610065467867,0.07710845998624051,0.009136372238455393,0.04550636568143512,0.19126157388319284,0.13943606101736986
Mixture4,0.05564675337743122,0.03803036129870544,0.021975976080441897,0.08645239096332806,0.023083928672622194,0.037516248895299587,0.11498079211273748,0.06225884739398269,0.008399509572358408,0.11626192890248593,0.07682170608864539,0.04155643658073044,0.039581248791563654,0.0063565832720750386,0.0407801802999591,0.10944526378090655,0.12085184391672688
Mixture5,0.03713180412725287,0.04705736297675221,0.01613086011072755,0.0,0.014631713610173482,0.028739124162924803,0.08711085831616501,0.10386503906590026,0.010816330069656852,0.09075954945328102,0.10287751674147765,0.040036271338483705,0.03254955678420234,0.0,0.04819846422178788,0.15558930119831366,0.1845062478229007
Mixture6,0.0,0.04516614352770454,0.011970669272361237,0.14372211676050378,0.02113838672953515,0.0,0.21625613974276378,0.09554825598033509,0.008527000454652486,0.1059041210869279,0.06448268316986792,0.06324893787983568,0.0605428384371375,0.007329258471025641,0.034539488110131154,0.0,0.12162396037721811
Mixture7,0.0,0.04946413076203922,0.025866080097926923,0.07884647671357184,0.0,0.02587765496718104,0.1106053411539144,0.08159594005116419,0.012362964193055017,0.1408986064269722,0.06530913503175663,0.042891659967068826,0.03570963921534806,0.0070635750560057884,0.05159388114429275,0.08923504817615101,0.1826798670435521
Mixture8,0.04116350104529244,0.03294707639777478,0.021618233656538983,0.11069208221332978,0.024723356036216823,0.03501028427675892,0.13254034115874072,0.08986612090185508,0.0061319873459523165,0.08334942858807555,0.08073599915035592,0.022183507052864603,0.03631235797855695,0.011629746923712775,0.046464057766057026,0.09409445276634326,0.13053746674157404
Mixture9,0.09136184926737044,0.04573208579024316,0.018552552726498535,0.08916491304296198,0.03102080066529138,0.024447865889434654,0.19668842742041476,0.04553063323723728,0.015833226755566313,0.0680341612826829,0.06369507306058222,0.039771020879255534,0.0671972210560378,0.014933452598814788,0.0,0.11784653565859472,0.07019018066901354
Mixture10,0.08279410045777615,0.02165400980127306,0.021858224291907206,0.0,0.0185942725826968,0.05989168552653397,0.12324802722692846,0.0854567884943516,0.011431199021583809,0.11805173361159481,0.07673312309529462,0.03624272673272011,0.03914802731506295,0.007452612922403612,0.05024802684299109,0.16851421555458357,0.07868122652229823
Mixture11,0.08328061935849039,0.04604054068037292,0.02278772643610298,0.0,0.02490053361371663,0.06392079142013891,0.19866341109709848,0.07241447863335182,0.017577641319445614,0.11133984187059903,0.05557584352237498,0.034590519866132104,0.05975587764294044,0.010284290365342338,0.032602022557951145,0.16626586161594223,0.0
Mixture12,0.08907112187905625,0.03129588034721109,0.0,0.11685824121959636,0.013937844695215036,0.0,0.16881637257258814,0.046984576763537324,0.007315762925073711,0.10108489478215764,0.042679242381680964,0.04774357617328374,0.033841336538717945,0.01174553346001904,0.03248906798493162,0.08817945682059879,0.16795709145633236
Mixture13,0.062293535476783304,0.017551852278472373,0.008996081732587482,0.11291785911739209,0.016453417413643836,0.03984606398071748,0.14768423873617612,0.0724530687851478,0.014786979037697217,0.10322223856256235,0.053199122703627214,0.05911231207432859,0.04152980560784103,0.005786422453140138,0.044442123363455474,0.12048130485295624,0.0792435738234712
Mixture14,0.07143516854787335,0.04540042771135461,0.024846541245504648,0.11928442221627242,0.03215422508242999,0.0,0.0,0.0,0.010610845440941073,0.12604213714415716,0.08290457381347106,0.03284790193839008,0.03219351603771329,0.018007144340791204,0.05458884778632687,0.18450775457438232,0.165176494120392
Mixture15,0.0858167874717836,0.05074010507784342,0.0,0.06901780178829077,0.028345199001417503,0.030303830354381556,0.163732941890538,0.0,0.010665745298723958,0.14647280071836158,0.06804335950147561,0.05019098455554799,0.07924789714803872,0.007422210133934935,0.05561366422596986,0.1543866728336925,0.0
