sample_id,astrocyte_of_the_cerebral_cortex,oligodendrocyte,vascular_leptomeningeal_cell,microglial_cell,oligodendrocyte_precursor_cell,cerebral_cortex_endothelial_cell,near_projecting_glutamatergic_cortical_neuron,corticothalamic_projecting_glutamatergic_cortical_neuron,l6b_glutamatergic_cortical_neuron,l5_extratelencephalic_projecting_glutamatergic_cortical_neuron,caudal_ganglionic_eminence_derived_gabaergic_cortical_interneuron,vip_gabaergic_cortical_interneuron,sncg_gabaergic_cortical_interneuron,lamp5_gabaergic_cortical_interneuron,sst_gabaergic_cortical_interneuron,pvalb_gabaergic_cortical_interneuron,chandelier_pvalb_gabaergic_cortical_interneuron
Mixture1,0.0800501948797243,0.14890596618801738,0.018705417950087858,0.0632449773336313,0.05039304494869177,0.016007987978210805,0.06623878147993037,0.0,0.0,0.021640998164046504,0.020513279478877225,0.16816186565194338,0.037195781228830216,0.07281909514036682,0.07652044174224046,0.15960216783540165,0.0
Mixture2,0.04233559197353549,0.06829638568789852,0.01459961429207031,0.0,0.06698633972643232,0.0110335118043425,0.0,0.06844087086631834,0.1051623080081594,0.036681968515428966,0.0,0.06520841714380761,0.046581661530934786,0.100174981364187,0.2073484811598854,0.12218220635948682,0.04496766156751251
Mixture3,0.0,0.07181566597409181,0.0,0.025967221778899142,0.05148392475772607,0.0,0.048871630869307243,0.08865956652112643,0.06799630902684609,0.019589526608603997,0.03722741149807488,0.06531259164970106,0.0760322761465588,0.07430840182873406,0.1631609311338014,0.1796401768023629,0.02993436540416616
Mixture4,0.047281720264900504,0.10984872693277668,0.02426525834907952,0.0375910492013153,0.058854420152170905,0.012294151288634158,0.05722954190677348,0.052611931428481924,0.050947915595218496,0.029096231739369396,0.030589175899755912,0.10836365788869612,0.040666297325012195,0.05386876922791239,0.15234995884505154,0.10710799702866199,0.027033196926189523
Mixture5,0.03142853679808463,0.13539943012166653,0.017742668736652603,0.0,0.0371611569838766,0.009381609388071583,0.043190868757410114,0.08743337267621759,0.06535474076329292,0.022626439966591003,0.04080646507874147,0.1039976806065941,0.03331308800884827,0.0,0.1793705225258694,0.15168035246099654,0.04111306712708664
Mixture6,0.0,0.13074353515946208,0.013246398455631544,0.06262874082604027,0.05401120135304715,0.0,0.10787133570322444,0.0809186390902084,0.05183360489740392,0.026561629822383564,0.025731764376984444,0.16528796388617156,0.06233766836989642,0.06224665044818988,0.12931584234102017,0.0,0.027265025270336193
Mixture7,0.0,0.1423344346807306,0.0284526280374337,0.034154249962041326,0.0,0.008448100761750035,0.05484361777988565,0.06869209181902856,0.07470507826796696,0.03512860817992827,0.025906740995930166,0.11142258583029734,0.03654985213406468,0.059633856929704666,0.19201998036094833,0.08699923031484559,0.04070894394544415
Mixture8,0.035068879515696635,0.0954196032184058,0.02393387943332506,0.04825920265924477,0.06320230702036213,0.011503524676130614,0.06614533253071714,0.07614393405993976,0.037293220400088055,0.020915006137920928,0.03223348031948149,0.05800049619385242,0.037407246131867175,0.09881883351993177,0.17404697554984488,0.09233047992112552,0.029277598712065884
Mixture9,0.07315032526332836,0.12447539933144187,0.019303602335012316,0.036534180568061986,0.07452814409098517,0.007549497421786351,0.09225113610432248,0.03625641018135868,0.09049818406566354,0.01604442657516677,0.023899433728793697,0.0977259806687036,0.06505705421924107,0.11925359554647634,0.0,0.10867751203954648,0.014795117860111336
Mixture10,0.06666929679626821,0.05927559883295353,0.022873081015056262,0.0,0.044928466876581995,0.01860024756398123,0.05813638111196835,0.06843886228190324,0.0657108858061859,0.02799913641404102,0.02895607867359457,0.08956519281157391,0.038117821018355834,0.059854240169685984,0.17790381300791686,0.1562911954140993,0.016679702205833823
