sample_id,lamp5_gabaergic_cortical_interneuron,sncg_gabaergic_cortical_interneuron,caudal_ganglionic_eminence_derived_gabaergic_cortical_interneuron,vip_gabaergic_cortical_interneuron,l5_extratelencephalic_projecting_glutamatergic_cortical_neuron,near_projecting_glutamatergic_cortical_neuron,corticothalamic_projecting_glutamatergic_cortical_neuron,l6b_glutamatergic_cortical_neuron,astrocyte_of_the_cerebral_cortex,vascular_leptomeningeal_cell,cerebral_cortex_endothelial_cell,microglial_cell,oligodendrocyte_precursor_cell,oligodendrocyte,chandelier_pvalb_gabaergic_cortical_interneuron,pvalb_gabaergic_cortical_interneuron,sst_gabaergic_cortical_interneuron
Mixture1,0.129493840102574,0.07319360493144218,0.03021890277240734,0.18755961697515977,0.03423074942070795,0.07622474504762711,0.08009136617594144,0.0,0.0,0.011482660072675576,0.009795409388788154,0.06493054879732778,0.030864122344610365,0.09785054550742463,0.02734317905808345,0.1467207094052303,0.0
Mixture2,0.06533938470878162,0.03202885747384545,0.022502737001711005,0.0,0.04341249449997841,0.050125149643051266,0.0,0.08499952334753122,0.11350256187521982,0.018569514154461925,0.0,0.024021930283270043,0.03687719754780089,0.12842806248229666,0.07068952829964176,0.1071626100602506,0.2023404486221594
Mixture3,0.0,0.03603343057467081,0.0,0.07860753240902243,0.035697913567587364,0.0,0.06031920089983453,0.11780650179874283,0.07851878798614108,0.010609979424975144,0.018145783075536957,0.025742092955250147,0.06439966667187186,0.10192513008550935,0.05951317132317496,0.16857046561927866,0.14411034360840383
Mixture4,0.07401245016496634,0.05224934648426119,0.03793333186354534,0.10787542988384702,0.03868563123992006,0.05664773896325847,0.06696046067007662,0.06627157887959118,0.05577172593314728,0.014939180110038518,0.014134487544155461,0.040488343532131724,0.032652743348810555,0.07004543266396039,0.052679139863570125,0.09527946855922488,0.1233735102954949
Mixture5,0.05336661890376722,0.0698613035551393,0.030087702685668,0.0,0.02649682535096902,0.046891636264288376,0.054818117409626485,0.11946874931240892,0.07760662089114817,0.012602022702270307,0.020453860017795592,0.042150625141393075,0.029015759917284775,0.0,0.06727929331727235,0.1463661910727735,0.20353467345819495
Mixture6,0.0,0.06408286109315638,0.0213387866178594,0.18520282508134014,0.036583923035398314,0.0,0.13005889342836247,0.10503341284722921,0.05847024490678893,0.014053372927791017,0.012252301962074509,0.06363901037907578,0.05157882357997396,0.08340548090451586,0.04607696891558155,0.0,0.1282230943208525
Mixture7,0.0,0.06840602191626804,0.044942474123155815,0.09903332583558996,0.0,0.039331601636441595,0.06483698007055085,0.08742755510454801,0.08262972525307877,0.01822424221995378,0.012095493532464379,0.04206472998307846,0.029653037528356557,0.07834913172629923,0.0670874484652588,0.07819722805164149,0.18772100455331434
Mixture8,0.05146590893518987,0.042550991653882785,0.035078047731054995,0.1298387958013067,0.03894841407262004,0.04969368471180648,0.07255771746141525,0.08992172473865395,0.03827399506390344,0.010067792531101884,0.013963868012406127,0.020317221083515004,0.028159635256047838,0.12046717803280899,0.056422075751559955,0.07700319869084936,0.12526975047187738
Mixture9,0.10676802672686837,0.055205558150930284,0.028137653385659798,0.09775768423356354,0.045677712969268376,0.03243512009915386,0.10064294319931678,0.04258349627393148,0.0923721327174108,0.0076811749787094085,0.010297062380905796,0.03404629298269049,0.048707168112458905,0.14458648287134554,0.0,0.09014269914111638,0.0629587917766702
Mixture10,0.10916015571268019,0.02949093517667422,0.037401368994120936,0.0,0.030890074892816106,0.08964571001384118,0.07114967442143026,0.09017218909133472,0.07524051253169008,0.015037007362791927,0.013995189979680838,0.0350035730145696,0.03201399474899844,0.08140750616713845,0.06434404362115642,0.1454248755741951,0.07962318869688154
