sample_id,basal_cell,ciliated_cell,endothelial_cell
Mixture1,0.8768875899895299,0.041944402917824065,0.081168007092646
Mixture2,0.7097826273964893,0.14722479042057768,0.14299258218293298
Mixture3,0.79860365327147,0.1020747069542469,0.09932163977428302
Mixture4,0.7601162748089832,0.11749084169873053,0.1223928834922862
Mixture5,0.7635388407889679,0.09508692688384614,0.1413742323271859
Mixture6,0.7697267262899999,0.10977419674964772,0.1204990769603524
Mixture7,0.8094117760743367,0.05952271938691903,0.13106550453874435
Mixture8,0.8831294998195224,0.046812631707732234,0.07005786847274546
Mixture9,0.8809070142012978,0.05681764359569432,0.062275342203007816
Mixture10,0.7638961246118195,0.09091457778279269,0.14518929760538776
Mixture11,0.9344928289880603,0.03169699740164594,0.03381017361029375
Mixture12,0.7966853389581781,0.11021201912076355,0.09310264192105833
Mixture13,0.8528673690777769,0.03893844898303331,0.10819418193918978
Mixture14,0.8172663492029427,0.07539341861759874,0.10734023217945844
Mixture15,0.837232814263865,0.10397208166377563,0.05879510407235948
Mixture16,0.7806410658242819,0.08333920885589448,0.13601972531982362
Mixture17,0.8337089036418457,0.09837161266420069,0.06791948369395368
Mixture18,0.9093574052469064,0.046987031204534555,0.04365556354855898
Mixture19,0.7906035986946776,0.11553921172409973,0.09385718958122276
Mixture20,0.8606891552903719,0.05812602202367582,0.08118482268595222
Mixture21,0.8794952939695906,0.08206114653665669,0.03844355949375267
Mixture22,0.8636808139393674,0.06299956934675821,0.0733196167138745
Mixture23,0.8505320960411595,0.08898042862719119,0.06048747533164932
Mixture24,0.8340452265544602,0.09782110175467361,0.06813367169086611
Mixture25,0.69592346539344,0.15889891432095496,0.14517762028560513
Mixture26,0.8517664591523728,0.08578613014075769,0.06244741070686952
Mixture27,0.843903998432732,0.07056295470251275,0.08553304686475531
Mixture28,0.8884225374047287,0.03641764791542138,0.07515981467984997
Mixture29,0.8381365986342207,0.10573904976693288,0.05612435159884635
Mixture30,0.8433785117691056,0.09305631794648601,0.06356517028440842
Mixture31,0.803501928726587,0.07944611792705526,0.11705195334635782
Mixture32,0.8915511998361128,0.038319948604796844,0.07012885155909046
Mixture33,0.7955345469671389,0.10650985416468352,0.09795559886817759
Mixture34,0.7892513656549305,0.13828673591010993,0.07246189843495963
Mixture35,0.7198269149261692,0.1687308047977813,0.1114422802760494
Mixture36,0.8177967199806363,0.13007692222108252,0.052126357798281196
Mixture37,0.8467691096771741,0.06648518821958894,0.08674570210323687
Mixture38,0.7873256375725077,0.10781479741803406,0.10485956500945827
Mixture39,0.7434574315294787,0.15676951597854313,0.09977305249197824
Mixture40,0.8175017402010832,0.10721943663058943,0.07527882316832732
Mixture41,0.849219110481878,0.078134193143256,0.07264669637486602
Mixture42,0.866908412945981,0.06374513598494647,0.06934645106907257
Mixture43,0.8803179499176422,0.07215172712125202,0.04753032296110577
Mixture44,0.9062532595970303,0.05199080988838427,0.04175593051458547
Mixture45,0.8491787434173907,0.07403341963479837,0.07678783694781079
Mixture46,0.8853936305447909,0.062224372516621454,0.05238199693858767
Mixture47,0.8187555472447929,0.08722739557260821,0.09401705718259892
Mixture48,0.8717754694401764,0.0709017750664532,0.05732275549337042
Mixture49,0.7523716599339595,0.10541214038969689,0.1422161996763436
Mixture50,0.8910399385010557,0.038829741172547255,0.07013032032639709
Mixture51,0.7288465078012061,0.1303226681095747,0.14083082408921913
Mixture52,0.8425569902767587,0.11576589916742562,0.04167711055581565
Mixture53,0.8388614368881773,0.07737275472344925,0.08376580838837344
Mixture54,0.8408785365777318,0.10100576245202228,0.05811570097024591
Mixture55,0.7204482604831401,0.15555647649106147,0.1239952630257984
Mixture56,0.8997290604838728,0.059381522522519,0.040889416993608145
Mixture57,0.8773858087264107,0.045498925841339855,0.07711526543224949
Mixture58,0.8601552561918935,0.053341021425339245,0.08650372238276727
Mixture59,0.8252807859288134,0.09131216595400098,0.08340704811718563
Mixture60,0.7614158760764272,0.09605835298759016,0.1425257709359826
Mixture61,0.8046292371687203,0.13350495398530143,0.06186580884597831
Mixture62,0.807670499990212,0.06945294030083718,0.12287655970895078
Mixture63,0.8805430826648459,0.08113803606827773,0.03831888126687641
Mixture64,0.8619506474559563,0.0644419564893404,0.07360739605470328
Mixture65,0.8997859875701297,0.042239795394114106,0.057974217035756066
Mixture66,0.8263317873120944,0.07606028170534497,0.09760793098256064
Mixture67,0.7347834090982267,0.11972989480019204,0.14548669610158127
Mixture68,0.7852496535097241,0.10764376437438315,0.1071065821158928
Mixture69,0.819011328394804,0.06072428130016767,0.1202643903050284
Mixture70,0.8779649580131124,0.084284394183516,0.03775064780337159
Mixture71,0.909116361779279,0.04921327558829964,0.041670362632421354
Mixture72,0.8626001996129244,0.0780712119759373,0.05932858841113815
Mixture73,0.876717159842319,0.04777958173333669,0.07550325842434427
Mixture74,0.7288543745687901,0.14080810965174562,0.13033751577946429
