sample_id,t_cell,b_cell,enterocyte,macrophage,dendritic_cell,endothelial_cell_of_lymphatic_vessel,neuron,fibroblast,blood_vessel_endothelial_cell,enteroendocrine_cell
Mixture1,0.3866634053701145,0.08898747363425706,0.13172872755695858,0.07317585697500134,0.08367327282484045,0.0,0.04721333588792025,0.0,0.1020279699418555,0.08652995780905232
Mixture2,0.34462828158906483,0.0,0.0,0.08792328464080619,0.1042327085128979,0.07161465728750906,0.12040845804716964,0.09322977898702006,0.09252201453026417,0.08544081640526814
Mixture3,0.0,0.07649462033266405,0.1975330638958841,0.17130898816633394,0.0,0.07506250688489945,0.11864948998087077,0.20352716871047888,0.08120795164701176,0.07621621038185704
Mixture4,0.23713641738062485,0.09187385508633969,0.1388913350385239,0.1103105907441517,0.06970352960676773,0.07286790838717738,0.048219171915936346,0.12686685026375738,0.06571156650841355,0.038418775068307494
Mixture5,0.3901485426485419,0.06178888191430455,0.1584045455577827,0.06491626223522337,0.05998810234965899,0.09606036348038575,0.07351517957084502,0.0,0.05075457407779379,0.044423548165463955
Mixture6,0.3543128538508476,0.1266850142200912,0.10664760424224416,0.08809659378589928,0.0,0.0,0.04826443799491593,0.07452906191859604,0.1137098252458086,0.08775460874159732
Mixture7,0.3646662358886803,0.11245287901828938,0.10530825119419739,0.11665880952076389,0.0,0.08768417941796508,0.026694947536724294,0.10039848488806286,0.05145318362195132,0.0346830289133655
Mixture8,0.22961015575528684,0.13997869445247207,0.14959800470125373,0.07218285145830167,0.05827097666428677,0.08248269226516677,0.03407413375888924,0.12723921449431358,0.06337714539936638,0.04318613105066288
Mixture9,0.15925163195931957,0.13220541191497517,0.1230355984345271,0.1437131407477207,0.08556329438349644,0.06235932947685849,0.05908761575275678,0.11005650217824839,0.07799808059110248,0.046729394560994786
Mixture10,0.3192668370479939,0.07032249552502984,0.08712606036669969,0.05912642428960356,0.06801411969339606,0.08156171288095213,0.07345421786852291,0.10079843463497518,0.08635160324383442,0.053978094448992354
Mixture11,0.3629250231346645,0.12788169784544762,0.0,0.0777335664551869,0.0584086558205026,0.05269311444116422,0.061755848631763754,0.14293227477078607,0.08123016661210809,0.034439652288376206
Mixture12,0.0,0.15515287146490728,0.15378679403578033,0.14264689945086134,0.08184880286784166,0.08388732650733696,0.08086164924416583,0.09493608959998938,0.10610852093672317,0.10077104589239409
Mixture13,0.3253710258107115,0.04773128694726629,0.06909257143912663,0.09678203786209551,0.06414081152280011,0.10099344337777852,0.06398505007610829,0.12336573846189179,0.04760837276775014,0.060929661734471306
Mixture14,0.0,0.15188081918867305,0.20010059803746802,0.15636562724023853,0.0,0.1147828283859949,0.0664659982626014,0.14329291753290105,0.0911310142153399,0.07598019713678313
Mixture15,0.3116995110345076,0.1093955157356087,0.11862229762634725,0.0,0.08384019956199244,0.09489253360118065,0.09692401436628319,0.1513695441114491,0.0,0.033256383962631156
Mixture16,0.3848513978744157,0.0,0.14465254288115076,0.06908464346733678,0.08707815552390785,0.1006113707632952,0.0,0.10818077591773495,0.04347106734218262,0.06207004622997618
