sample_id,B_cell,plasma_cell,effector_CD4_positive_alpha_beta_T_cell,macrophage,regulatory_T_cell,intermediate_monocyte,neutrophil,CD1c_positive_myeloid_dendritic_cell,mast_cell
Mixture1,0.2131111627451563,0.20224020099926515,0.33000756770343487,0.06417020672038194,0.08305263136940925,0.06479742065211815,0.022869179075542177,0.0,0.019751630734692063
Mixture2,0.36059221408227043,0.0,0.18895444885705404,0.10483949567520463,0.16078828166292344,0.08482508859107034,0.06047773451237146,0.02247894984924441,0.017043786769861236
Mixture3,0.0,0.1403835948916885,0.42153736051557195,0.20467576689762412,0.06523536790915056,0.052221083125102985,0.05971310471559271,0.03543212951712964,0.020801592428139476
Mixture4,0.29078731768578997,0.21344527428204924,0.1739587702037225,0.08906775524282218,0.10093833564614695,0.06626796895677549,0.04011395587817138,0.015303841458264597,0.010116780646257801
Mixture5,0.22565117686817876,0.22212624286203436,0.25857348234650585,0.11319458156284878,0.07832021739966576,0.0350872333909938,0.02490416652544617,0.023722190656318958,0.018420708388007613
Mixture6,0.3448397924039544,0.2158293433696362,0.21127453498241805,0.09771138568156741,0.0,0.06871161913362431,0.022549182891966533,0.012044819535353671,0.02703932200147937
Mixture7,0.4138097215915927,0.07607412541301926,0.2174874547727118,0.10634175011800107,0.06733089179909414,0.0693987001641225,0.01662486131774342,0.01313268230700096,0.019799812516714272
Mixture8,0.350159384299872,0.11837890283459404,0.21628234212176134,0.11594528621733263,0.07941493929342312,0.04192672465289087,0.03685145107566198,0.01026817385346725,0.03077279565099681
Mixture9,0.0,0.22188784213159504,0.3158707489620899,0.15633574055473984,0.07247518475979732,0.11170089515876372,0.048794558418306155,0.028565892634007817,0.04436913738070028
Mixture10,0.3393389104097473,0.15284618509872935,0.22560700382700866,0.060889850539630724,0.12382653168319713,0.039278998127490805,0.0418052821959093,0.0,0.01640723811828679
Mixture11,0.385193281956201,0.14507437018609912,0.15469772745606963,0.10150280186935327,0.09129253957896812,0.04721063991364996,0.03618096979914077,0.02396403729733375,0.014883631943184298
Mixture12,0.23559066018230598,0.20677466252018975,0.23832376555106494,0.12376579896030596,0.09187132858093203,0.04238100014897848,0.029552784615674843,0.012002127607697255,0.019737871832850744
Mixture13,0.29325126546212354,0.14692957900913217,0.2824904198183211,0.09831781150471998,0.07899231947533358,0.03598319314263002,0.022084981433293845,0.020632608958242597,0.021317821196203127
Mixture14,0.23682397720619883,0.20345967390458392,0.3116984233821962,0.12511388776196605,0.0,0.051503237485535765,0.033583781059084175,0.014181861025182903,0.023635158175252042
Mixture15,0.3069934097102962,0.18860240637621048,0.23780711653164743,0.0,0.12173912473803308,0.0620179057327364,0.04582446607601381,0.024755722743523237,0.012259848091539415
Mixture16,0.43020893787115205,0.0,0.1558565640237537,0.16019220847382912,0.10213986166629022,0.0658357717892574,0.04102656165913205,0.014496482531643613,0.030243611984941764
Mixture17,0.35387007901570755,0.1348175775225018,0.22904750890946773,0.09694714611900568,0.05518071048060203,0.059436881904043254,0.034498197855997885,0.01929621521275074,0.0169056829799233
Mixture18,0.19245164397094838,0.1087932840757491,0.38576079956374726,0.17582104367681695,0.05133621609313099,0.031136871310383278,0.018087974520356674,0.0156695709167462,0.02094259587212108
Mixture19,0.2152160633333253,0.22765949319104686,0.23157380044796255,0.11442557202251316,0.1137841756387243,0.045260402188014436,0.027278677727811007,0.024801815450602303,0.0
Mixture20,0.22755604846453126,0.22091647799003278,0.2689612205308499,0.09405923349745703,0.08057819401145414,0.033816792705624744,0.04459378259654833,0.009852820704007283,0.019665429499494416
Mixture21,0.4775902023801855,0.12147800270559604,0.1532462928290781,0.09438637507030456,0.053359071223039005,0.056165488070824644,0.0,0.02037961348098102,0.02339495423999124
Mixture22,0.22671222886725476,0.17690876496110491,0.2551894171787183,0.11393645090038813,0.058331037314488424,0.0770755019472178,0.038625803488911904,0.022219515809351054,0.031001279532564676
Mixture23,0.19560152641998488,0.23872223520239402,0.33976812559752506,0.0,0.09978593377259147,0.05615850443819746,0.03549427797989507,0.01489074845993614,0.019578648129475976
Mixture24,0.29817123482536767,0.2303261114525258,0.22630030920985508,0.0,0.0756658114944046,0.08621480271330882,0.032543888055599046,0.023985127196034146,0.0267927150529048
Mixture25,0.30770020133617765,0.15891288577554957,0.286346338848479,0.14946182044952647,0.0,0.030912774363865157,0.03474025846856847,0.01457532425800638,0.0173503964998273
Mixture26,0.25154050486751606,0.160766520529038,0.2783790750769973,0.1149958792431142,0.11025048029992676,0.038515593123511736,0.021334760611121877,0.016045918264571368,0.008171267984202712
Mixture27,0.3000089645997928,0.17685509343576705,0.275126608545751,0.05189420057810078,0.10719310256051094,0.04104273926450419,0.03204797762391899,0.01583131339165416,0.0
Mixture28,0.3338070855868659,0.15685720972172826,0.20830953874389121,0.15303770335411462,0.07058649891549837,0.0,0.034591948048151064,0.022631678066713234,0.02017833756303728
