sample_id,endothelial_cell,pancreatic_acinar_cell,pancreatic_stellate_cell,B_cell,pancreatic_ductal_cell,myeloid_cell,T_cell
Mixture1,0.11774454006158824,0.5951918800532552,0.09263971827370229,0.08401940745230098,0.0,0.0528010283263962,0.05760342583275709
Mixture2,0.13461826029102913,0.5814717559749101,0.0,0.03432516692085403,0.18525275258558854,0.029383776677156675,0.03494828755046156
Mixture3,0.18570787256405377,0.6176219260211494,0.05344606451907429,0.0487785921822539,0.0,0.05080596039684744,0.043639584316621204
Mixture4,0.1260131659707467,0.4859296730796073,0.02815779067203002,0.06811191264555161,0.20171199782409938,0.0386151173569441,0.05146034245102085
Mixture5,0.11446589514955145,0.41792152150139794,0.03364784760419507,0.055664143423760595,0.28761081194224786,0.04510999676494095,0.0455797836139062
Mixture6,0.1698967420878136,0.3037729239207482,0.03962268622217302,0.06725307445916524,0.38980217170807646,0.02965240160202344,0.0
Mixture7,0.11138219857989932,0.5376500820955629,0.02626709931588166,0.027271566027198373,0.25509965057572503,0.02286332068103136,0.01946608272470134
Mixture8,0.22549401927395019,0.37436857812859203,0.06145156680586778,0.053662188467344066,0.20171531957622305,0.03753235208853367,0.04577597565948925
Mixture9,0.27854502227572553,0.0,0.11187353754662212,0.04415347365528529,0.4459758798557229,0.0876247852697262,0.03182730139691797
Mixture10,0.13582577855267566,0.6768206544021129,0.03337659973845433,0.05538465071321678,0.0,0.05962139320438271,0.038970923389157704
Mixture11,0.1431122063884345,0.3848564229119863,0.03717940023267708,0.029991344119778728,0.3197515268203707,0.051163872090992976,0.0339452274357597
Mixture12,0.11981273190941198,0.4495813928422749,0.041834500412400284,0.05278787904507826,0.24858426834801306,0.04942878983501228,0.03797043760780925
Mixture13,0.12483852978772149,0.49776410664913084,0.018087386868049546,0.02755520554428415,0.26559058995091506,0.035645044418338684,0.03051913678156023
Mixture14,0.10467033971083638,0.41614691342025445,0.034865451108168764,0.05244855396977508,0.3656187806984574,0.026249961092507938,0.0
Mixture15,0.06440197393376412,0.5086448666435001,0.0,0.038157809293440655,0.3110274932088329,0.05280410955014104,0.024963747370321268
Mixture16,0.0,0.44874322313013015,0.08687526421122381,0.06575544057626365,0.2765104045633117,0.05181271202813661,0.070302955490934
Mixture17,0.06094960281378755,0.5117553636053512,0.04365119065537101,0.01566245350875356,0.29764664757141224,0.030554089666341353,0.039780652178983
Mixture18,0.16089969790065303,0.33539375355513235,0.053756714516506154,0.06261991651145583,0.28957989945629153,0.03244884159391657,0.06530117646604455
Mixture19,0.13077308957118777,0.6228447836799239,0.06586344069912578,0.06612265594621582,0.0,0.07180316004823228,0.04259287005531441
Mixture20,0.049936191191699064,0.5033645842605384,0.04503055964729046,0.02445765897948361,0.31502990499576117,0.03527158129979313,0.02690951962543411
Mixture21,0.09502202578763423,0.6638978278179225,0.07822030956215334,0.028014375633152188,0.0,0.07554664223232159,0.05929881896681623
Mixture22,0.13851458900349356,0.42019473030462123,0.03285398658533544,0.03260861124044863,0.3264110567346127,0.032342676375079905,0.01707434975640857
Mixture23,0.19205661030194363,0.0,0.08130924992990396,0.08494052459864496,0.5481981980191855,0.053005760028701096,0.04048965712162085
Mixture24,0.134755026444936,0.5111507836547715,0.0323213458867687,0.0,0.24040846193617574,0.050233346299625906,0.031131035777722173
Mixture25,0.09792872462919237,0.5453347449076947,0.0,0.03333701944077134,0.22599697798936497,0.04598197950471383,0.051420553528262775
Mixture26,0.15595239372730155,0.4676641845606224,0.04623399810309766,0.030712235895451804,0.24430473863299018,0.02237610533374567,0.0327563437467908
Mixture27,0.16629303358941372,0.4857539821149924,0.1207825596679445,0.0952354022975299,0.0,0.05701603878950365,0.07491898354061592
Mixture28,0.10253540438657059,0.4496093290627728,0.0,0.03816784714553259,0.32324698566218185,0.04312315726458888,0.04331727647835333
Mixture29,0.13216805010664467,0.43643278387514645,0.04414178203439623,0.07178736527462706,0.23377083977932123,0.08169917892986432,0.0
Mixture30,0.11440042384215933,0.3596458264808254,0.08367601847463492,0.0586174334665802,0.25830612811791404,0.08124319172498515,0.044110977892901006
Mixture31,0.23495038512702004,0.545873048147882,0.04533715237752539,0.07737959083671592,0.0,0.07027451130486231,0.02618531220599439
Mixture32,0.12896136437451075,0.498175648738577,0.04866090310008688,0.035075782036778365,0.23305826878895164,0.056068032961095395,0.0
Mixture33,0.0786374263364073,0.48135598933131246,0.04431096048520416,0.02403028178081718,0.319484340964056,0.026434893837032656,0.02574610726517026
Mixture34,0.1181083759928617,0.4370914792129518,0.026838298304168173,0.05843889898790262,0.31548833351809025,0.0,0.04403461398402552
Mixture35,0.11475747438075913,0.3455720952084695,0.047123176012802685,0.044712530905315184,0.38471117067046606,0.034436413376590716,0.028687139445596754
Mixture36,0.2581833820816021,0.0,0.05101343535351307,0.07103480928460917,0.4646787260199351,0.08109421205857839,0.07399543520176226
Mixture37,0.05690738059923107,0.3963962057523524,0.05171433577058804,0.03716449775870043,0.37537525663346377,0.05964246924692809,0.022799854238736254
Mixture38,0.06049995657021885,0.4482513028211924,0.03691625503493038,0.04578497690465605,0.3851267797763418,0.023420728892660485,0.0
Mixture39,0.20412885593806349,0.3619089662548249,0.03837381552400399,0.0634827809839107,0.29279294747686446,0.03931263382233257,0.0
Mixture40,0.16370162710498165,0.29367423499561196,0.03458949539214337,0.026753565773678097,0.3873874244031648,0.06869455071380366,0.02519910161661648
Mixture41,0.06608873029223918,0.37738770361193746,0.05450650843542843,0.024812855821968238,0.3704142388013028,0.057317911538384635,0.04947205149873929
Mixture42,0.11809603236899532,0.48058132280227817,0.027566838070052266,0.04991714729311315,0.28888908962117577,0.03494956984438525,0.0
Mixture43,0.15200894567430356,0.35015832041611633,0.048017204595173994,0.06437594696748089,0.2998709660427268,0.037548884949407176,0.04801973135479132
Mixture44,0.059913092794114026,0.6362146960889942,0.0423415725309338,0.0,0.19777208411075184,0.04171986212025319,0.02203869235495302
Mixture45,0.0,0.6150896873029367,0.02084105185736616,0.03773603362690757,0.2626701865470594,0.035838375439716026,0.027824665226014178
Mixture46,0.10151111965256134,0.2981854969431089,0.05748260138732363,0.028339954769416448,0.39103852691379387,0.0714045938966264,0.05203770643716939
Mixture47,0.10009801414531581,0.5499110467971537,0.0,0.021759434801153076,0.2687243142922953,0.023657328409495564,0.0358498615545866
Mixture48,0.12941618403426813,0.29083215390557354,0.06428132625327904,0.06700159486046049,0.4064993655441968,0.04196937540222206,0.0
