sample_id,granulocyte,CD4_positive_alpha_beta_T_cell,CD8_positive_alpha_beta_T_cell,mature_NK_T_cell,erythroid_progenitor_cell,plasma_cell,hematopoietic_stem_cell,naive_B_cell
Mixture1,0.14669975922416403,0.18124523501959142,0.16522713878131493,0.17133256457405077,0.0,0.17124600222068628,0.08568753777574895,0.07856176240444354
Mixture2,0.11258717582967355,0.3147619101804042,0.0,0.16345271118204857,0.13452599303854834,0.0848320897190393,0.1277781752184803,0.06206194483180575
Mixture3,0.2034246177528322,0.22306101351578453,0.1882111559019865,0.11305664703989599,0.0,0.11229113866404894,0.1128572849700752,0.04709814215537668
Mixture4,0.204973569867951,0.17156975433864152,0.15723087795537966,0.14795017227522148,0.13572470480153578,0.08857250845883485,0.06137124753092037,0.032607164771515276
Mixture5,0.16473859696174786,0.19029968946241485,0.11566780042149223,0.08524261513489359,0.11397081834847139,0.16025250778940184,0.12930285873854255,0.04052511314303571
Mixture6,0.1336716718179125,0.1286906136500238,0.20197468647085431,0.07686474926955449,0.18172230485296423,0.17383414427292093,0.10324182966576971,0.0
Mixture7,0.10395236245903891,0.15709293557858084,0.12345621429896221,0.18993049828178768,0.10736630346563486,0.15047637323971585,0.10971743256163552,0.05800788011464423
Mixture8,0.09286640489675503,0.22267922862534062,0.10633362731663266,0.12946533853314937,0.12725628370679753,0.18363335326200433,0.0801314174332037,0.057634346226116726
Mixture9,0.0,0.33248671545578323,0.1257903797358974,0.11500913249615509,0.07977731830771304,0.16768947406317608,0.12723033856064056,0.05201664138063453
Mixture10,0.15958584089147534,0.2227052259357486,0.1278244520510967,0.07495602503140361,0.22330452004369722,0.11605433876393062,0.0,0.07556959728264791
Mixture11,0.2010116829846606,0.1732475512271682,0.10671027233177191,0.1119978463914983,0.15839707755450358,0.06522188461512,0.1416595106974094,0.04175417419786795
Mixture12,0.1641881826747432,0.19368848620311688,0.1179525774206964,0.07671201816091226,0.14472394168243094,0.13875697400408035,0.11085212694525269,0.05312569290876719
Mixture13,0.18006097301994733,0.18127453660918116,0.1634734511712014,0.08256482811209363,0.164777699213715,0.07914739763579219,0.10584908754477351,0.0428520266932958
Mixture14,0.14243344060389035,0.25174629540148946,0.1145916449098956,0.14679506907095388,0.17628353071592734,0.09773671808370583,0.07041330121413758,0.0
Mixture15,0.16552880902696737,0.24789731894418268,0.1769484333135628,0.0,0.15659253999220052,0.10117725232819515,0.12585577854490834,0.025999867849983115
Mixture16,0.0,0.18501649234363227,0.1902595554417508,0.14516709180262433,0.1145023527553056,0.18135409284002685,0.1166603151487225,0.06704009966793777
Mixture17,0.12536757452153136,0.19042926205132812,0.16052675369024022,0.13078975767166537,0.17568978211159675,0.04679430867408101,0.14267723700702806,0.027725324272529175
Mixture18,0.2067285535069028,0.17174132306716358,0.08032734404813867,0.07136390157584005,0.22124393551199445,0.11747498007027384,0.07497164468220023,0.05614831753748642
Mixture19,0.21623762466161991,0.2616402439251217,0.12378375804647894,0.0,0.12957899254455044,0.12924221748471196,0.08115827863040437,0.058358884707112625
Mixture20,0.20605869386444936,0.10728829956828743,0.1875586611486774,0.09954062373865566,0.14185251542645913,0.07970373683066927,0.14793126761963815,0.030066201803163658
Mixture21,0.2580776978729776,0.1376292346476588,0.20082633537034159,0.07509187547488277,0.0,0.08961554683144796,0.157035625986121,0.08172368381657033
Mixture22,0.2192470732404438,0.21316339666969333,0.07818885360037417,0.14807752638505892,0.12549416970971142,0.10092981202046315,0.07396677503150735,0.040932393342747925
Mixture23,0.13631689121302826,0.20093247092445143,0.16541016041827544,0.15269623463984908,0.18514953148440985,0.06794226359603409,0.09155244772395191,0.0
Mixture24,0.1966268151548485,0.18817385489289853,0.11378313533919003,0.0,0.2115097415776172,0.09548037946575431,0.1359490191569043,0.05847705441278707
Mixture25,0.16691091063661295,0.1613546612596947,0.0,0.11686676258902183,0.13585235619638786,0.19572980307475815,0.15448986798074102,0.06879563826278351
Mixture26,0.13821892717550843,0.1958183537080026,0.07790498018291515,0.0910568122496819,0.15059581370625705,0.15607180699520457,0.1313743413257275,0.058958964656702764
Mixture27,0.19311170679178835,0.1276347537587342,0.1290408236402383,0.129387843047234,0.1653880905864336,0.1108715603699108,0.14456522180566067,0.0
Mixture28,0.21405346235792191,0.21290413343230888,0.0,0.14231708499753215,0.13404226405333428,0.11920503780084533,0.13058245045970532,0.04689556689835207
Mixture29,0.14145355599626866,0.33752327305378715,0.17969679235114974,0.07994822732894044,0.11633684005718299,0.10949139905978848,0.0,0.03554991215288264
Mixture30,0.2419083911165448,0.12408440018106799,0.11505847268046596,0.17151364185927873,0.09807155065483428,0.10605000339934165,0.09039663259800275,0.05291690751046387
Mixture31,0.1394222912368929,0.24997133597021265,0.20138677593201404,0.07561354084312472,0.19981835886973362,0.070265229161476,0.06352246798654601,0.0
Mixture32,0.1965634874709796,0.0,0.18408401524748388,0.10601544810284927,0.20213368504764528,0.10886163975043739,0.16201998880427645,0.0403217355763282
Mixture33,0.18938739591363127,0.2558461057745822,0.11788456165773041,0.09088119536244557,0.16923544372830054,0.07436878925565855,0.06894517437270058,0.03345133393495086
Mixture34,0.1805841018605938,0.21418788349776777,0.12650289733560988,0.18377670379931893,0.09902639714382132,0.13143994826419567,0.0,0.0644820680986927
Mixture35,0.15982187766631512,0.2050450528347146,0.10481412097327375,0.132063332913959,0.17135424935374757,0.10061718701592232,0.07963734153534502,0.04664683770672264
Mixture36,0.2246640395059599,0.1628657999906799,0.15481709904808594,0.1779484155954777,0.0,0.13110648293201307,0.08887557439506374,0.05972258853271966
Mixture37,0.18600747243810295,0.16988720577895364,0.06443012151596793,0.13543601740910277,0.18119046197491137,0.10750018851342719,0.12833088556127653,0.027217646808257605
Mixture38,0.09323524702581784,0.22139630420457979,0.15370239888768852,0.14512347848751478,0.2093238415965274,0.10607065051931609,0.0711480792785556,0.0
Mixture39,0.2188116311594684,0.18129819546428597,0.09902058681453751,0.18241173594380466,0.11609564727473977,0.0,0.1355513331491426,0.06681087019402115
Mixture40,0.15305689587466023,0.16356475147058183,0.22661235270923755,0.07515592943210746,0.08960354721907618,0.1441726021434988,0.08126579328793458,0.0665681278629034
Mixture41,0.1848168568336128,0.10229847179199773,0.15806561661590496,0.15452472266899767,0.1568546151271952,0.07820422227176604,0.14025243043762267,0.024983064252902976
Mixture42,0.1810103427967861,0.23607973867620796,0.1299984179343598,0.1573647510089499,0.15616695392656096,0.0,0.10559603934490329,0.033783756312231926
Mixture43,0.1236080345868106,0.240220086341336,0.1702943577784698,0.10535097738210006,0.09588485061706235,0.10974065619689846,0.0887264839060456,0.06617455319127716
Mixture44,0.2966329958090496,0.16062843389776,0.11958101893911953,0.1063077764934218,0.13751047622267645,0.14588459637477727,0.0,0.03345470226319531
Mixture45,0.0,0.2179571765689269,0.21874746930533664,0.1884574765849719,0.14416563957707323,0.09884178487563815,0.08300779109051114,0.048822661997541955
Mixture46,0.09256392791912633,0.2502531213618614,0.20093365306162017,0.1307207286767052,0.08757485180119795,0.08172396191279174,0.1306365667591934,0.025593188507503743
Mixture47,0.2263478499128781,0.13082167218609622,0.2002958940203783,0.13942993328449155,0.14360635459418586,0.0,0.12817980664238382,0.031318489359586234
Mixture48,0.1688206649043473,0.23549400681157792,0.1231594987007304,0.1136103332512685,0.12954095500367027,0.08279927526218937,0.14657526606621618,0.0
Mixture49,0.15944801806888714,0.3251060856107016,0.11554031601899174,0.0,0.20206373387176715,0.06090532907071274,0.07802131279235254,0.05891520456658708
Mixture50,0.10900450105006142,0.17508887356500066,0.1661584722265454,0.15318012790340524,0.1708674008672326,0.1217187243179895,0.07713048996788395,0.026851410101881218
Mixture51,0.12112691723415799,0.0,0.12874179317232298,0.17653186882284888,0.21164524296083548,0.19429508412461735,0.11514624465203933,0.05251284903317796
Mixture52,0.24527003818243223,0.11381212975222332,0.20160388978417726,0.128177328441289,0.08836907005622316,0.0,0.1633811563717183,0.05938638741193665
