sample_id,luminal_cell_of_prostate_epithelium,club_cell,erythroid_progenitor_cell,epithelial_cell,basal_cell_of_prostate_epithelium,endothelial_cell
Mixture1,0.45392342361568305,0.19735092494629514,0.04936835174214512,0.21100985418593282,0.08834744550994386,0.0
Mixture2,0.28638805359890346,0.30660521946563213,0.0,0.11931802605191864,0.1520827299616833,0.1356059709218625
Mixture3,0.0,0.34101594465684654,0.10082230354442769,0.23931246422968577,0.1536522437762136,0.1651970437928265
Mixture4,0.21666938091842683,0.2480011545924773,0.09215543373535467,0.2048519896598351,0.06442164509671051,0.17390039599719564
Mixture5,0.44542322943749074,0.21870229952971484,0.07260193139528293,0.10693091244494586,0.09429371700697464,0.062047910185590936
Mixture6,0.3577538978659614,0.22186203450654543,0.0485959349832946,0.0,0.16011705471094753,0.21167107793325105
Mixture7,0.4426533679502689,0.2222918426442402,0.04203190960649829,0.15082261283007622,0.06455436504614656,0.07764590192276988
Mixture8,0.2334265831231527,0.30586692294631584,0.03912134176778122,0.18927391209007802,0.11897004967109849,0.11334119040157367
Mixture9,0.27173919690045434,0.0,0.11336682803407049,0.3605688202388452,0.14461843890584855,0.1097067159207815
Mixture10,0.2850759971357231,0.35990907101274694,0.07716032125684993,0.15516818372088154,0.12268642687379851,0.0
Mixture11,0.19896668496087205,0.3851801997182646,0.08154396236905315,0.09745843415091685,0.09349236223179402,0.14335835656909932
Mixture12,0.34508701296205946,0.174930658581765,0.0638124076594417,0.136212769805653,0.10798037082510634,0.17197678016597448
Mixture13,0.363316835543996,0.2674363320857243,0.06570682790659646,0.1657334806323933,0.0443943513177631,0.0934121725135269
Mixture14,0.40510248805613486,0.34365874359861526,0.04764528889030536,0.12599919789315284,0.07759428156179171,0.0
Mixture15,0.43069708713041194,0.21312299082876887,0.0,0.16764750649373353,0.06088804539511369,0.12764437015197197
Mixture16,0.0,0.43214644611163827,0.10960891930103647,0.16800312314832644,0.19392595592303508,0.09631555551596377
Mixture17,0.2078786969539955,0.3813808000805006,0.027310293154027835,0.1265439371343476,0.12445915849409035,0.13242711418303812
Mixture18,0.23515965577614736,0.3585835956174139,0.0887098813073109,0.16927133908256695,0.06038702893781087,0.08788849927875003
Mixture19,0.39080719286407634,0.29894509787651463,0.07733236670890138,0.13688298591308123,0.0,0.09603235663742635
Mixture20,0.36710973069958736,0.3100085229808686,0.04609370693137647,0.16401702062226878,0.045602335588248784,0.06716868317765
Mixture21,0.20576165778480635,0.4031546676979484,0.041715910099670586,0.18050206466657184,0.0,0.16886569975100277
Mixture22,0.41249323759785644,0.2718296940385678,0.06924844464851308,0.07395906776065658,0.08514156349487666,0.08732799245952934
Mixture23,0.4337690724890026,0.0,0.07726706671140295,0.21224381315146176,0.11876173437900711,0.15795831326912557
Mixture24,0.348510812395214,0.26396255953639947,0.0945622171482167,0.0,0.145983324712619,0.14698108620755082
Mixture25,0.3358440085682065,0.3239993172668636,0.0,0.1100464567236621,0.11194819030513302,0.11816202713613472
Mixture26,0.1959662989760055,0.27324031151585476,0.051204046128071695,0.184513993072957,0.12604293138798098,0.16903241891913015
Mixture27,0.31227779834829344,0.21520576829637858,0.09929752886422862,0.15335148784043148,0.0,0.2198674166506679
Mixture28,0.39852446760277727,0.3059591747816436,0.06133873355928966,0.0,0.13114266863093915,0.10303495542535025
Mixture29,0.45010257603786574,0.16447508961854518,0.0,0.1823243772604275,0.129121426313837,0.07397653076932464
Mixture30,0.19631378731523938,0.4448114059626946,0.06580036727707193,0.14087913706479527,0.07820997825165894,0.07398532412853995
Mixture31,0.44269700047419774,0.21570528217295454,0.040560197015877264,0.2153918731520074,0.08564564718496305,0.0
Mixture32,0.36354141124700035,0.0,0.10056922731072901,0.21743613878995108,0.1477197096977905,0.17073351295452913
Mixture33,0.44108658730667505,0.24611128940642474,0.0487399995558644,0.10349059300737541,0.09711551983268539,0.06345601089097494
Mixture34,0.3003153150095858,0.30047957660411184,0.05742284027964528,0.18647951616589206,0.0,0.155302751940765
Mixture35,0.39776568496059983,0.19975248560211784,0.04158207505346538,0.1285403528128831,0.09758506154406875,0.13477434002686517
Mixture36,0.4048684129333609,0.0,0.055201713392341895,0.20083403671917804,0.17841251097368477,0.16068332598143434
Mixture37,0.3289445037026953,0.2013939435728362,0.05620789651294159,0.19733783235372288,0.15668008200081612,0.059435741856988016
Mixture38,0.36291360043307214,0.4293097919075948,0.037106595030237347,0.0,0.10531374853170614,0.06535626409738955
Mixture39,0.4421946769798452,0.30528575798580065,0.08140164807297912,0.0,0.08856335709600636,0.08255455986536864
Mixture40,0.43759983077106096,0.31514931274332836,0.03143333959641848,0.08694294496933891,0.05564075646242974,0.07323381545742355
Mixture41,0.3226164787579511,0.273564049816514,0.04883013343668866,0.13906653745415715,0.10796175395652637,0.10796104657816269
Mixture42,0.24122699888971044,0.40023395197467815,0.06607365226897526,0.0,0.14630715372340883,0.14615824314322734
Mixture43,0.2445427442927046,0.2889152908077952,0.05141818886366325,0.11463262726016032,0.1585624125378558,0.14192873623782076
Mixture44,0.30982205913074995,0.4176509766639036,0.08656906844547507,0.0,0.0927603297196352,0.09319756604023613
Mixture45,0.0,0.3846557955478726,0.04646435892202764,0.18510795550812503,0.15132596412400048,0.23244592589797428
Mixture46,0.4024145563011852,0.15378302144340694,0.04062294017831745,0.1911688671125707,0.10594639880737293,0.1060642161571467
Mixture47,0.35548256899051894,0.3344685356068233,0.09488560262829182,0.0,0.13727098240182736,0.07789231037253859
Mixture48,0.36906103807611784,0.3716028463687432,0.028055990810003057,0.12510418295220493,0.10617594179293106,0.0
Mixture49,0.4766861229710684,0.0,0.05038098319230266,0.1583361481708795,0.11088398102628513,0.20371276463946428
Mixture50,0.41549782437647637,0.24496741503204536,0.07577760472405021,0.08925875850448836,0.10095989591644021,0.07353850144649943
Mixture51,0.3931241984399498,0.20878146159348007,0.06416746572587112,0.0,0.17867376345920608,0.15525311078149293
Mixture52,0.5014896092212574,0.17723630614785293,0.034631475660650744,0.22516350433470564,0.061479104635533285,0.0
Mixture53,0.38128386696836847,0.19695118297519876,0.08532006472139068,0.08358679362830565,0.10765097085434358,0.14520712085239285
Mixture54,0.3437995016480018,0.19620305276818428,0.09195563830345967,0.09708706653254184,0.10913350015577077,0.1618212405920416
Mixture55,0.44881028675853796,0.22524281111062808,0.034662185115256476,0.14688291736095158,0.05737724465515649,0.08702455499946952
Mixture56,0.3184481796713276,0.29347977018326027,0.0398223534587417,0.2151242476476512,0.0,0.13312544903901918
Mixture57,0.32469484299950396,0.2436468571019401,0.0808091548953501,0.1145551225025641,0.13569210712725885,0.1006019153733829
Mixture58,0.21565345746398695,0.2720601032615378,0.0,0.21140897129436195,0.1550009926903015,0.14587647528981182
Mixture59,0.5701455222503087,0.0,0.10845661626176072,0.10469238341516897,0.09808808526022227,0.11861739281253941
Mixture60,0.0,0.5203500951188341,0.11272202049084126,0.1744236848412234,0.07716353742371763,0.11534066212538356
Mixture61,0.3778285122890101,0.24261606796816737,0.0488090365091054,0.16231550929066216,0.09226463663788698,0.07616623730516793
Mixture62,0.3081758854328915,0.29857633111093485,0.06994074485784141,0.1724302751306311,0.08259593116420672,0.06828083230349434
Mixture63,0.3685770548756422,0.24001399362846576,0.06052811905178181,0.135560904079157,0.19531992836495327,0.0
Mixture64,0.31916612184242443,0.3413196193470216,0.05364205579756602,0.14878814243883784,0.051916203283019734,0.0851678572911304
Mixture65,0.27840885157605444,0.41735745147782566,0.051102759741213456,0.10672510778856681,0.0627230744009534,0.08368275501538625
Mixture66,0.26543852503167326,0.25017686086101215,0.0,0.14957912074896063,0.1577338414353555,0.1770716519229985
Mixture67,0.24545487483340012,0.41586917480109975,0.06887676005310273,0.19110193221239222,0.0786972581000052,0.0
Mixture68,0.4567822386394823,0.19041971565199803,0.038382532087845124,0.15070659971027311,0.0717234390579305,0.09198547485247092
Mixture69,0.20545792158630577,0.2946676294199609,0.09878339591226713,0.12154086203495805,0.09307705412588763,0.18647313692062054
