sample_id,stromal_cell,endothelial_cell,mast_cell,macrophage,muscle_cell,regulatory_T_cell,CD1c_positive_myeloid_dendritic_cell,naive_thymus_derived_CD8_positive_alpha_beta_T_cell
Mixture1,0.3310436245592647,0.18335655684608756,0.08989372024655323,0.15868341184662016,0.0,0.1310573430580573,0.031979340579072875,0.07398600286434419
Mixture2,0.24466834235516702,0.3066514668768188,0.0,0.14578631870428452,0.13816196833066807,0.06252217964508408,0.04592419468568563,0.05628552940229179
Mixture3,0.4313442405886073,0.21204019068749602,0.09621837131632291,0.09839032224970964,0.0,0.08075158789227446,0.039577294857049715,0.041677992408539845
Mixture4,0.411213552185641,0.15430652943510523,0.07605005596708561,0.1218206229474028,0.1286832173883636,0.06026339422926935,0.02036247288396534,0.02730015496316701
Mixture5,0.3585696688163892,0.18569075701507515,0.060699177826326584,0.07615014571911412,0.1172371641548773,0.11829546942717667,0.04654599593587757,0.03681162110516338
Mixture6,0.3083411517758314,0.13308006438106187,0.11232623380059155,0.07277045864361675,0.19810425239853413,0.135991663072334,0.03938617592803028,0.0
Mixture7,0.2438912338992354,0.16523136951722847,0.0698340013674853,0.18289099450300197,0.11904832218860498,0.11973337732155692,0.04257292374286041,0.05679777746002658
Mixture8,0.21537119770565596,0.23151691043051215,0.05945546272969206,0.1232305219605098,0.13947670441440593,0.14443273829679665,0.030734618614355995,0.05578184584807148
Mixture9,0.0,0.4095945547279219,0.08333845201123584,0.12971015282314868,0.10360452910508783,0.15627760597384843,0.057821925908421966,0.059652779450335286
Mixture10,0.32081526164829943,0.20070818882396296,0.0619536285959846,0.06184477274857493,0.21215419745031522,0.07912379982027833,0.0,0.06340015091258447
Mixture11,0.4117355587959322,0.1590882852047846,0.05269815961905561,0.09415481498174752,0.15333372678764665,0.04530806448897447,0.04798868247934129,0.035692707642517724
Mixture12,0.3516544440541412,0.18597391736140484,0.06090792355319752,0.06743314411956287,0.1464900231473345,0.10078922942207133,0.03926578263215145,0.047485535710136265
Mixture13,0.3792890371696699,0.171183349989101,0.08302140393794605,0.07138082536193606,0.1640372889018311,0.05654216422426655,0.036875152873574055,0.03767077754167529
Mixture14,0.3022314167181119,0.23947751893185845,0.05862363446571382,0.12784239439147269,0.17677987923721009,0.07033483674064121,0.02471031951499187,0.0
Mixture15,0.3603867015511023,0.2419585740310102,0.09288252920142182,0.0,0.1611237963629892,0.07470731670798353,0.04531733273465186,0.023623749410841124
Mixture16,0.0,0.236114767142358,0.1305801937612384,0.1696065615809017,0.15404462455419476,0.17508588600255082,0.05492345452379603,0.07964451243496037
Mixture17,0.28675858163217033,0.19527151886917155,0.08852598494572678,0.12278370150634485,0.1899201982964749,0.03630022573515932,0.05397366432395679,0.026466124690995522
Mixture18,0.403286194257088,0.1501971574102671,0.037780564372495745,0.05713829295586366,0.20397536323950088,0.07772189115446443,0.0241883331009223,0.04571220350939795
Mixture19,0.42715753376266236,0.23170498295029318,0.058953910311362295,0.0,0.12097199930632314,0.08658572534905296,0.02651463473857179,0.048111213581734355
Mixture20,0.4372000661935058,0.10205062255651834,0.09594415995923557,0.0866813009631107,0.14223935316916195,0.057352591968654915,0.05190931147306416,0.026622593716748646
Mixture21,0.5272422796500164,0.12605046955866236,0.09891737001243496,0.06296344629863984,0.0,0.0620909354043707,0.05305837642072103,0.0696771226551547
Mixture22,0.42383845647386276,0.1847367107048193,0.03644211251882794,0.1174874539511933,0.11465250691937205,0.0661715197928232,0.02364826328053719,0.03302297635856419
Mixture23,0.2998401700614976,0.1981364088064011,0.08771916108276696,0.13784920216598645,0.19246697060448328,0.05068334206151747,0.03330474521734714,0.0
Mixture24,0.40321431295576066,0.17299219009700165,0.05625527295480505,0.0,0.20498261094834266,0.06640372184781401,0.04610683243867518,0.05004505875760076
Mixture25,0.3535814821828931,0.15323582868964736,0.0,0.10160886158691067,0.13600829973846118,0.14061991622537265,0.054125360352994784,0.06082025122372028
Mixture26,0.3053917278453482,0.193962229003477,0.0414999064026592,0.08257298420305602,0.15725197248354683,0.11694975068761955,0.048006087934885956,0.05436534143940719
Mixture27,0.40722011091850085,0.12066007205855359,0.06560544510721233,0.11198242687923261,0.16482318410697502,0.0792913597478064,0.05041740118171921,0.0
Mixture28,0.4173771346869253,0.1861077717293707,0.0,0.11389357433702268,0.12352122836024892,0.07882901434885242,0.042110192207416894,0.038161084330163034
Mixture29,0.2972620728217162,0.317982614599049,0.09104541953273997,0.06895571365568184,0.11554105969285652,0.07803523230885374,0.0,0.03117788738910275
Mixture30,0.46970744870499975,0.10801093359262115,0.053862593808202755,0.13668188816930193,0.08999388641632235,0.06983486394079948,0.029028512388440952,0.042879872979311645
Mixture31,0.30319524757692373,0.24369936937903677,0.10558768490270734,0.0674878412606383,0.20536149286468583,0.051822186315607595,0.022846177700400448,0.0
Mixture32,0.42682141814127994,0.0,0.09637215680294167,0.09448182981260363,0.2074318783602374,0.08016841873296934,0.058184588433463046,0.03653970971650504
Mixture33,0.3784935255661923,0.2292240668086415,0.056801062532007514,0.07454477355108613,0.15984246109717962,0.05040611011393974,0.022788055582532496,0.027899944748420728
Mixture34,0.36057715707031895,0.19172891563913314,0.06089916157233082,0.15060692491189823,0.0934465185935684,0.08900843528978518,0.0,0.053732886922965344
Mixture35,0.3336843550511625,0.19192119174698782,0.05276082249909806,0.11316644064805619,0.16907832862194275,0.07124540803766338,0.027498713964120916,0.04064473943096839
Mixture36,0.45651787293828666,0.14836386501465446,0.07584645579441453,0.14840691385598426,0.0,0.09035110724865572,0.029867760185637762,0.0506460249623666
Mixture37,0.38119344747621015,0.15608088849657598,0.03183436051122192,0.11391607073117492,0.17548654294834962,0.07471526677435265,0.04349529090436268,0.023278132157752023
Mixture38,0.21395285800101527,0.2277625692647412,0.08503755336917998,0.13668203386081293,0.22701267894802407,0.08255023026271863,0.027002076293507943,0.0
Mixture39,0.434153376361871,0.1612650592714165,0.04736858583731573,0.14854613014390705,0.10886346851053996,0.0,0.044480799607978384,0.055322580266971316
Mixture40,0.34446774437608624,0.1650286694092205,0.12296213185196973,0.06942161243287573,0.09530469892873344,0.11004327002611511,0.03024819418950855,0.0625236787854907
Mixture41,0.39619291387050765,0.09831239805460273,0.08169484967628952,0.13595615797231977,0.1589117008807683,0.056856538454275546,0.04972462687370248,0.022350814217534033
Mixture42,0.37081441938346515,0.21681331940161117,0.06420715608786068,0.13231115738149735,0.15119443731520293,0.0,0.03577641875999277,0.028883091670369995
Mixture43,0.2806592397782605,0.2445208980459676,0.09322342332943234,0.09817637653094641,0.10289069252748237,0.08450556047044187,0.03331823048805606,0.06270557882941279
Mixture44,0.5208373464304747,0.12643843297094737,0.05062173823833689,0.07660965049599036,0.11410689734002515,0.08687147352271193,0.0,0.024514461001513624
Mixture45,0.0,0.26876523870353825,0.14506514822012342,0.21275367112162333,0.1874058390719738,0.09220480927714002,0.037760938073919934,0.05604435553168119
Mixture46,0.22673904818429036,0.2748135021815327,0.11866683740365384,0.13142100696652534,0.10138119491813478,0.06789206943829464,0.05292310487333821,0.02616323603423006
Mixture47,0.45944955930738424,0.1190461026130485,0.09802247337885088,0.11615910899095816,0.13776172576560247,0.0,0.04303056923779326,0.026530460706362405
Mixture48,0.36363438423966105,0.22740144222443529,0.06395866536121324,0.1004368205569097,0.13186814017189802,0.0604854563229556,0.05221509112292718,0.0
Mixture49,0.32761513481625243,0.29946353734623027,0.05723616496766119,0.0,0.1962124931369681,0.04244096162710424,0.02651270857341331,0.05051899953237039
